,,,Goalies,,,,,,,,,
Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
Andrei Vasilevskiy,TB,53,39,10,4,2.4,128,"1,713","1,585",.925,6,"3,204"
Sergei Bobrovsky,FLA,62,37,24,1,2.6,153,"1,756","1,603",.913,9,"3,557"
Martin Jones,SJ,62,36,19,5,3.0,176,"1,699","1,523",.896,3,"3,597"
Frederik Andersen,TOR,60,36,16,7,2.8,162,"1,958","1,796",.917,1,"3,510"
Marc-Andre Fleury,VGK,61,35,21,5,2.5,152,"1,745","1,593",.913,8,"3,635"
Carey Price,MON,66,35,24,6,2.5,161,"1,952","1,791",.918,4,"3,880"
Connor Hellebuyck,WPG,63,34,23,3,2.9,179,"2,051","1,872",.913,2,"3,704"
Braden Holtby,WAS,59,32,19,5,2.8,160,"1,795","1,635",.911,3,"3,407"
Devan Dubnyk,MIN,67,31,28,6,2.6,163,"1,877","1,714",.913,2,"3,855"
Pekka Rinne,NSH,56,30,19,4,2.4,130,"1,581","1,451",.918,4,"3,220"
Matt Murray,PIT,50,29,14,6,2.7,129,"1,594","1,465",.919,4,"2,880"
Jacob Markstrom,VAN,60,28,23,9,2.8,166,"1,896","1,730",.912,1,"3,599"
David Rittich,CGY,45,27,9,5,2.6,109,"1,228","1,119",.911,1,"2,503"
Tuukka Rask,BOS,46,27,13,5,2.5,109,"1,245","1,136",.912,4,"2,635"
Darcy Kuemper,ARI,55,27,20,8,2.3,126,"1,677","1,551",.925,5,"3,251"
Ben Bishop,DAL,46,27,15,2,2.0,87,"1,323","1,236",.934,7,"2,637"
John Gibson,ANH,58,26,22,8,2.9,153,"1,838","1,685",.917,2,"3,233"
Mikko Koskinen,EDM,55,25,21,6,3.0,146,"1,551","1,405",.906,4,"2,992"
Robin Lehner,VGK,46,25,13,5,2.1,93,"1,323","1,230",.930,6,"2,616"
Jordan Binnington,STL,32,24,5,1,1.9,59,807,748,.927,5,"1,876"
Jimmy Howard,DET,55,23,22,5,3.1,156,"1,709","1,553",.909,0,"3,053"
Thomas Greiss,NYI,43,23,14,2,2.3,87,"1,185","1,098",.927,5,"2,294"
Mike Smith,EDM,42,23,16,2,2.7,109,"1,069",960,.898,2,"2,400"
Petr Mrazek,CAR,40,23,14,3,2.4,95,"1,104","1,009",.914,4,"2,387"
Jaroslav Halak,BOS,40,22,11,4,2.4,90,"1,158","1,068",.922,5,"2,308"
Louis Domingue,VAN,26,21,5,0,2.9,75,812,737,.908,0,"1,561"
Curtis McElhinney,TB,33,20,11,2,2.6,85,968,883,.912,2,"1,978"
Semyon Varlamov,NYI,49,20,19,9,2.9,136,"1,496","1,360",.909,2,"2,839"
Jake Allen,STL,46,19,17,8,2.8,121,"1,277","1,156",.905,3,"2,568"
Carter Hutton,BUF,50,18,25,5,3.0,142,"1,541","1,399",.908,0,"2,840"
Henrik Lundqvist,NYR,52,18,23,10,3.1,158,"1,699","1,541",.907,0,"3,089"
Philipp Grubauer,COL,37,18,9,5,2.7,89,"1,071",982,.917,3,"2,021"
Roberto Luongo,FA,43,18,16,5,3.1,122,"1,205","1,083",.899,1,"2,347"
Craig Anderson,OTT,50,17,27,4,3.5,163,"1,676","1,513",.903,2,"2,785"
Juuse Saros,NSH,31,17,10,2,2.6,74,870,796,.915,3,"1,696"
Pheonix Copley,WAS,27,16,7,3,2.9,74,776,702,.905,1,"1,529"
Carter Hart,PHI,31,16,13,1,2.9,81,976,895,.917,0,"1,717"
Anton Khudobin,DAL,41,16,17,5,2.6,95,"1,232","1,137",.923,2,"2,220"
Jonathan Quick,LA,46,16,23,7,3.4,149,"1,329","1,180",.888,2,"2,648"
Cam Ward,FA,33,16,12,4,3.7,115,"1,113",998,.897,0,"1,882"
Keith Kinkaid,MON,41,15,18,6,3.4,129,"1,188","1,059",.891,3,"2,302"
Linus Ullmark,BUF,37,15,14,5,3.1,109,"1,146","1,037",.905,2,"2,102"
Casey DeSmith,PIT,36,15,11,5,2.8,89,"1,060",971,.916,3,"1,944"
Anders Nilsson,OTT,36,14,19,1,3.0,101,"1,098",997,.908,2,"2,040"
Corey Crawford,CHI,39,14,18,5,2.9,108,"1,176","1,068",.908,2,"2,213"
Alexandar Georgiev,NYR,33,14,13,4,2.9,91,"1,057",966,.914,2,"1,874"
James Reimer,CAR,36,13,12,5,3.1,93,929,836,.900,0,"1,805"
Laurent Brossoit,WPG,21,13,6,2,2.5,49,652,603,.925,1,"1,165"
Brian Elliott,PHI,26,11,11,1,3.0,69,741,672,.907,1,"1,397"
Cam Talbot,CGY,35,11,17,3,3.4,108,997,889,.892,1,"1,905"
Joonas Korpisalo,CLS,27,10,7,3,3.0,67,651,584,.897,0,"1,361"
Jack Campbell,TOR,31,10,14,1,2.3,61,845,784,.928,2,"1,593"
MacKenzie Blackwood,NJ,23,10,10,0,2.6,55,669,614,.918,2,"1,264"
