,,,Goalies,,,,,,,,,
Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
Connor Hellebuyck,WPG,67,44,11,9,2.4,156,"2,048","1,892",.924,6,"3,966"
Andrei Vasilevskiy,TB,65,44,17,3,2.6,167,"2,075","1,908",.920,8,"3,825"
Pekka Rinne,NSH,59,42,13,4,2.3,134,"1,840","1,706",.927,8,"3,475"
Frederik Andersen,TOR,66,38,21,5,2.8,182,"2,211","2,029",.918,5,"3,889"
Sergei Bobrovsky,FLA,65,37,22,6,2.4,158,"1,993","1,835",.921,5,"3,912"
Devan Dubnyk,MIN,60,35,16,7,2.5,145,"1,769","1,624",.918,5,"3,450"
Braden Holtby,WAS,54,34,16,4,3.0,153,"1,648","1,495",.907,0,"3,068"
Tuukka Rask,BOS,54,34,14,5,2.4,125,"1,513","1,388",.917,3,"3,173"
Jonathan Quick,LA,64,33,28,3,2.4,147,"1,867","1,720",.921,5,"3,677"
John Gibson,ANH,60,31,18,7,2.4,139,"1,872","1,733",.926,4,"3,428"
Cam Talbot,CGY,67,31,31,3,3.0,188,"2,036","1,848",.908,1,"3,730"
Martin Jones,SJ,60,30,22,6,2.6,145,"1,699","1,554",.915,4,"3,416"
Marc-Andre Fleury,VGK,46,29,13,4,2.3,100,"1,376","1,276",.927,4,"2,673"
Matt Murray,PIT,49,27,16,3,2.9,133,"1,423","1,290",.907,1,"2,733"
Jake Allen,STL,59,27,25,3,2.8,152,"1,614","1,462",.906,1,"3,317"
Ben Bishop,DAL,53,26,17,5,2.5,120,"1,437","1,317",.916,5,"2,887"
Keith Kinkaid,MON,41,26,10,3,2.8,106,"1,214","1,108",.913,1,"2,298"
Henrik Lundqvist,NYR,63,26,26,7,3.0,174,"2,036","1,862",.915,2,"3,503"
Mike Smith,EDM,55,25,22,6,2.7,141,"1,686","1,545",.916,3,"3,191"
Semyon Varlamov,NYI,51,24,16,6,2.7,128,"1,595","1,467",.920,2,"2,861"
Cam Ward,FA,43,23,14,4,2.8,112,"1,187","1,075",.906,2,"2,459"
Craig Anderson,OTT,58,23,25,6,3.3,180,"1,768","1,588",.898,2,"3,251"
Jacob Markstrom,VAN,60,23,26,7,2.7,154,"1,745","1,591",.912,2,"3,414"
Brian Elliott,PHI,43,23,11,7,2.7,112,"1,228","1,116",.909,1,"2,522"
James Reimer,CAR,44,22,14,6,3.0,120,"1,373","1,253",.913,4,"2,411"
Jimmy Howard,DET,60,22,27,9,2.9,160,"1,770","1,610",.910,1,"3,368"
Antti Raanta,ARI,47,21,17,6,2.3,97,"1,388","1,291",.930,3,"2,599"
Jaroslav Halak,BOS,54,20,26,6,3.2,161,"1,744","1,583",.908,1,"3,024"
Jonathan Bernier,DET,37,19,13,3,2.9,95,"1,092",997,.913,2,"2,001"
Roberto Luongo,FA,35,18,11,2,2.5,81,"1,143","1,062",.929,3,"1,966"
Carter Hutton,BUF,32,17,7,3,2.1,56,810,754,.931,3,"1,610"
Cory Schneider,NJ,40,17,16,6,2.9,114,"1,228","1,114",.907,1,"2,332"
Anton Khudobin,DAL,31,16,6,7,2.6,76,876,800,.913,1,"1,781"
Corey Crawford,CHI,28,16,9,2,2.3,60,842,782,.929,2,"1,584"
Carey Price,MON,49,16,26,7,3.1,148,"1,487","1,339",.900,1,"2,855"
Aaron Dell,SJ,29,15,5,4,2.7,67,775,708,.914,2,"1,522"
Philipp Grubauer,COL,35,15,10,3,2.4,73,953,880,.923,3,"1,865"
Kari Lehtonen,FA,37,15,14,3,2.6,83,946,863,.912,1,"1,944"
Tristan Jarry,PIT,26,14,6,2,2.8,63,687,624,.908,2,"1,364"
Robin Lehner,VGK,53,14,26,9,3.0,143,"1,560","1,417",.908,3,"2,852"
Petr Mrazek,CAR,39,14,13,6,3.1,106,"1,080",974,.902,4,"2,097"
Thomas Greiss,NYI,27,13,8,2,3.9,95,879,784,.892,1,"1,492"
Malcolm Subban,CHI,22,13,4,2,2.7,55,614,559,.910,0,"1,230"
Scott Darling,FA,43,13,21,7,3.2,131,"1,171","1,040",.888,0,"2,475"
Darcy Kuemper,ARI,29,12,7,5,2.5,67,833,766,.920,4,"1,596"
Ryan Miller,ANH,28,12,6,6,2.4,53,739,686,.928,4,"1,353"
Juuse Saros,NSH,26,11,5,7,2.5,61,810,749,.925,3,"1,497"
Curtis McElhinney,TB,18,11,5,1,2.2,35,528,493,.934,3,979
Alex Stalock,MIN,28,10,10,4,2.9,71,787,716,.910,1,"1,495"
Chad Johnson,FA,36,10,16,3,3.6,105,962,857,.891,0,"1,774"
Anton Forsberg,CAR,35,10,16,4,3.0,85,921,836,.908,0,"1,715"
Michal Neuvirth,FA,22,9,7,3,2.6,45,530,485,.915,1,"1,039"
Joonas Korpisalo,CLS,18,8,8,1,3.3,58,564,506,.897,0,"1,049"
David Rittich,CGY,21,8,6,3,2.9,49,512,463,.904,0,"1,008"
Antti Niemi,FA,24,7,9,4,3.1,63,710,647,.911,1,"1,213"
Anders Nilsson,OTT,27,7,14,4,3.5,84,850,766,.901,2,"1,464"
Louis Domingue,VAN,19,7,9,1,3.4,61,578,517,.894,0,"1,074"
Max Lagace,BOS,16,6,7,1,3.9,57,430,373,.867,0,874
Casey DeSmith,PIT,14,6,4,1,2.4,28,356,328,.921,1,700
Steve Mason,FA,13,5,6,1,3.3,37,392,355,.906,1,685
Scott Wedgewood,TB,20,5,9,4,3.5,63,587,524,.893,1,"1,097"
Mike Condon,TB,31,5,17,5,3.3,88,898,810,.902,0,"1,626"
Alexandar Georgiev,NYR,10,4,4,1,3.2,27,331,304,.918,0,515
Harri Sateri,FA,9,4,4,0,2.9,24,271,247,.911,0,493
Ondrej Pavelec,FA,19,4,9,1,3.1,46,510,464,.910,1,904
Charlie Lindgren,MON,14,4,8,2,3.0,42,457,415,.908,2,833
Al Montoya,FA,13,4,3,2,3.2,37,346,309,.893,0,692
Alex Lyon,PHI,11,4,2,1,2.8,22,232,210,.905,0,480
Oscar Dansk,VGK,4,3,0,0,1.8,5,93,88,.946,1,169
Jon Gillies,CGY,11,3,5,1,2.9,29,280,251,.896,0,605
Laurent Brossoit,WPG,14,3,7,1,3.3,40,343,303,.883,0,740
Jeff Glass,ANH,15,3,7,3,3.4,46,452,406,.898,0,821
Jean-Francois Berube,NYR,13,3,6,1,3.8,42,398,356,.894,0,667
Peter Budaj,FA,8,3,3,1,3.8,27,217,190,.876,0,430
Christopher Gibson,NYI,8,2,3,2,3.7,26,284,258,.908,0,427
Michael Hutchinson,COL,3,2,1,0,3.3,7,75,68,.907,0,129
Eddie Lack,FA,8,2,4,0,4.1,23,177,154,.870,0,344
Jack Campbell,TOR,5,2,0,2,2.5,11,145,134,.924,0,267
Reto Berra,FA,5,1,1,0,2.4,7,95,88,.926,0,182
Thatcher Demko,VAN,1,1,0,0,3.9,4,30,26,.867,0,61
Mike McKenna,FA,2,1,1,0,3.0,5,50,45,.900,0,101
Eric Comrie,WPG,3,1,2,0,4.0,12,94,82,.872,0,180
Linus Ullmark,BUF,5,1,2,0,2.0,8,123,115,.935,0,240
Collin Delia,CHI,2,1,1,0,4.0,7,63,56,.889,0,106
Adin Hill,ARI,4,1,3,0,3.5,14,129,115,.891,0,241
Ken Appleby,NSH,3,0,1,0,1.5,3,55,52,.945,0,124
Marek Langhamer,ARI,1,0,0,0,0.0,0,10,10,1.000,0,29
Calvin Pickard,DET,1,0,0,1,3.9,4,28,24,.857,0,63
Dylan Ferguson,VGK,1,0,0,0,6.7,1,2,1,.500,0,9
Daniel Taylor,FA,1,0,1,0,4.1,4,34,30,.882,0,58
Jared Coreau,NYI,7,0,5,1,4.3,27,203,176,.867,0,380
Brandon Halverson,TOR,1,0,0,0,5.0,1,6,5,.833,0,13
Andrew Hammond,BUF,2,0,1,0,2.1,2,33,31,.939,0,59
Adam Wilcox,STL,1,0,1,0,0.0,0,14,14,1.000,0,39
