,,,Goalies,,,,,,,,,
Andrew Raycroft,FA,19,8,5,0,2.9,40,446,406,.910,2,847
Ty Conklin,FA,25,8,8,4,3.2,69,582,513,.881,2,"1,285"
Scott Clemmensen,FA,31,8,11,7,2.6,74,833,759,.911,1,"1,696"
Martin Biron,FA,17,8,6,0,2.2,33,426,393,.923,0,928
Rick DiPietro,FA,26,8,14,4,3.5,88,773,685,.886,1,"1,533"
Jason LaBarbera,FA,17,7,6,3,3.3,48,529,481,.909,2,883
Ray Emery,FA,10,7,2,0,2.3,20,272,252,.926,0,527
Alex Auld,FA,16,6,2,2,2.7,33,383,350,.914,0,749
Jonas Gustavsson,FA,23,6,13,2,3.3,68,620,552,.890,0,"1,242"
Joey MacDonald,FA,15,5,5,3,2.6,31,372,341,.917,1,721
Chris Osgood,FA,11,5,3,2,2.8,29,298,269,.903,0,629
Henrik Karlsson,CHI,17,4,5,6,2.6,36,391,355,.908,0,838
Pascal Leclaire,FA,14,4,7,1,2.9,36,391,355,.908,0,763
Kevin Poulin,FA,10,4,2,1,2.5,20,262,242,.924,0,491
Martin Gerber,FA,3,3,0,0,1.3,4,95,91,.958,0,185
Justin Peters,FA,12,3,5,1,4.0,43,343,300,.875,0,648
Ben Bishop,DAL,7,3,4,0,2.8,17,168,151,.899,1,369
Anton Khudobin,DAL,4,2,1,0,1.6,5,86,81,.942,1,189
Cedrick Desjardins,FA,2,2,0,0,1.0,2,63,61,.968,0,120
Mikko Koskinen,EDM,4,2,1,0,4.4,15,118,103,.873,0,208
Michael Leighton,FA,1,1,0,0,4.1,4,36,32,.889,0,60
Alex Stalock,MIN,1,1,0,0,0.0,0,9,9,1.000,0,30
Nathan Lawson,FA,10,1,4,2,4.1,26,243,217,.893,0,384
Robin Lehner,VGK,8,1,4,0,3.6,20,178,158,.888,0,341
Richard Bachman,VAN,1,0,0,0,0.0,0,4,4,1.000,0,10
Timo Pielmeier,NJ,1,0,0,0,7.5,5,12,7,.583,0,40
Tom McCollum,NYR,1,0,0,0,12.9,3,8,5,.625,0,15
David LeNeveu,FA,1,0,0,0,6.0,2,12,10,.833,0,20
Mike McKenna,FA,2,0,1,0,3.1,6,56,50,.893,0,118
Matt Climie,FA,1,0,0,0,1.9,1,16,15,.938,0,32
Patrick Lalime,FA,7,0,5,0,3.0,18,163,145,.890,0,365
Mark Dekanich,FA,1,0,0,0,3.7,3,25,22,.880,0,50
Chad Johnson,FA,1,0,0,0,6.0,2,11,9,.818,0,20
Mike Brodeur,MIN,4,0,1,0,4.4,7,42,35,.833,0,97
Peter Mannino,FA,2,0,0,0,4.2,5,36,31,.861,0,73
Jacob Markstrom,VAN,1,0,1,0,3.1,2,14,12,.857,0,40
