,,,Goalies,,,,,,,,,
Craig Anderson,OTT,35,14,13,8,2.5,87,"1,134","1,047",.923,3,"2,093"
Mike Smith,EDM,62,14,42,5,3.2,187,"1,955","1,768",.904,0,"3,556"
John Gibson,ANH,23,13,8,0,2.6,58,674,616,.914,1,"1,340"
Curtis McElhinney,TB,32,12,14,2,2.9,82,949,867,.914,0,"1,710"
Ray Emery,FA,31,10,11,7,3.1,80,758,678,.894,0,"1,570"
James Reimer,CAR,35,9,16,1,3.2,93,"1,001",908,.907,0,"1,767"
Robin Lehner,VGK,25,9,12,3,3.0,74,779,705,.905,0,"1,471"
Thomas Greiss,NYI,20,9,6,3,2.6,50,546,496,.908,0,"1,159"
Scott Darling,FA,14,9,4,0,2.0,27,419,392,.936,1,833
Anton Khudobin,DAL,34,8,17,6,2.7,87,874,787,.900,1,"1,920"
Chad Johnson,FA,19,8,8,1,3.1,54,488,434,.889,0,"1,053"
Alex Stalock,MIN,22,8,9,2,2.6,54,553,499,.902,2,"1,237"
Michal Neuvirth,FA,32,7,20,4,3.0,92,"1,067",975,.914,0,"1,850"
Niklas Svedberg,FA,18,7,5,1,2.4,35,425,390,.918,2,900
Andrei Vasilevskiy,TB,16,7,5,1,2.4,34,415,381,.918,1,864
Antti Raanta,ARI,14,7,4,1,1.9,25,389,364,.936,2,792
Anders Lindback,FA,26,6,16,2,3.1,73,798,725,.909,0,"1,408"
Al Montoya,FA,20,6,7,2,3.0,49,453,404,.892,0,977
Viktor Fasth,FA,26,6,15,3,3.4,76,681,605,.888,0,"1,336"
Keith Kinkaid,MON,19,6,5,4,2.6,40,469,429,.915,0,925
Calvin Pickard,DET,16,6,7,3,2.4,35,511,476,.932,0,895
Dustin Tokarski,PIT,17,6,6,4,2.8,46,509,463,.910,0,"1,005"
Carter Hutton,BUF,18,6,7,4,2.6,44,450,406,.902,1,"1,010"
Rob Zepp,FA,10,5,2,0,2.9,25,223,198,.888,0,519
Niklas Backstrom,FA,19,5,7,3,3.1,51,452,401,.887,0,"1,005"
Reto Berra,FA,19,5,4,1,2.7,33,403,370,.918,1,748
Martin Jones,SJ,15,4,5,2,2.3,29,307,278,.906,3,775
Dan Ellis,FA,8,4,3,1,2.4,19,221,202,.914,1,486
Joni Ortio,FA,6,4,2,0,2.5,14,153,139,.908,1,333
Martin Brodeur,FA,7,3,3,0,2.9,17,169,152,.899,1,356
Jonas Gustavsson,FA,7,3,3,1,2.6,15,168,153,.911,1,351
Justin Peters,FA,12,3,6,1,3.3,35,294,259,.881,0,647
Richard Bachman,VAN,7,3,2,0,2.9,15,168,153,.911,1,317
Evgeni Nabokov,FA,11,3,6,2,3.2,29,245,216,.882,0,553
Mackenzie Skapski,FA,2,2,0,0,0.5,1,45,44,.978,1,119
Jason LaBarbera,FA,5,2,0,1,2.6,9,99,90,.909,0,207
Ilya Bryzgalov,FA,8,1,4,1,4.2,23,150,127,.847,0,329
Philipp Grubauer,COL,1,1,0,0,1.8,2,25,23,.920,0,65
Troy Grosenick,NSH,2,1,1,0,1.5,3,58,55,.948,1,118
Jacob Markstrom,VAN,3,1,1,0,3.2,4,33,29,.879,0,78
Louis Domingue,VAN,7,1,2,1,2.8,14,158,144,.911,0,308
Tom McCollum,NYR,2,1,0,0,0.9,1,25,24,.960,0,66
Scott Clemmensen,FA,3,0,0,1,4.8,8,54,46,.852,0,102
Chris Driedger,FLA,1,0,0,0,0.0,0,10,10,1.000,0,23
Andrey Makarov,FA,1,0,1,0,3.0,3,36,33,.917,0,60
Matt Hackett,FA,5,0,4,1,4.4,18,155,137,.884,0,250
Jussi Rynnas,FA,2,0,1,0,4.6,7,44,37,.841,0,92
Malcolm Subban,CHI,1,0,1,0,5.8,3,6,3,.500,0,31
Daniil Tarasov,CLS,5,0,0,0,0.0,0,0,0,.000,0,38
John Curry,FA,2,0,0,1,4.2,5,25,20,.800,0,72
Jeff Zatkoff,FA,1,0,1,0,1.7,1,17,16,.941,0,37
Kevin Poulin,FA,1,0,0,1,2.8,3,26,23,.885,0,65
Tyler Bunz,FA,1,0,0,0,9.0,3,12,9,.750,0,20
Laurent Brossoit,WPG,1,0,1,0,2.0,2,51,49,.961,0,60
Marek Mazanec,FA,2,0,1,0,2.3,4,47,43,.915,0,106
Anton Forsberg,CAR,5,0,4,0,4.7,20,149,129,.866,0,256
Mike McKenna,FA,1,0,1,0,5.0,5,34,29,.853,0,60
