,,,Goalies,,,,,,,,,
Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
Carey Price,MON,66,44,16,6,2.0,130,"1,953","1,823",.933,9,"3,977"
Pekka Rinne,NSH,64,41,17,6,2.2,140,"1,807","1,667",.923,4,"3,851"
Braden Holtby,WAS,73,41,20,10,2.2,157,"2,044","1,887",.923,9,"4,247"
Ben Bishop,DAL,62,40,13,5,2.3,136,"1,620","1,484",.916,4,"3,519"
Jaroslav Halak,BOS,59,38,17,4,2.4,144,"1,673","1,529",.914,6,"3,550"
Devan Dubnyk,MIN,58,36,14,4,2.1,115,"1,625","1,510",.929,6,"3,328"
Jonathan Quick,LA,72,36,22,13,2.3,156,"1,896","1,740",.918,6,"4,184"
Frederik Andersen,TOR,54,35,12,5,2.4,123,"1,436","1,313",.914,3,"3,106"
Kari Lehtonen,FA,65,34,17,10,3.0,181,"1,875","1,694",.903,5,"3,698"
Tuukka Rask,BOS,70,34,21,13,2.3,156,"2,011","1,855",.922,3,"4,063"
Marc-Andre Fleury,VGK,64,34,20,9,2.3,146,"1,831","1,685",.920,10,"3,776"
Corey Crawford,CHI,57,32,20,5,2.3,126,"1,661","1,535",.924,2,"3,333"
Antti Niemi,FA,61,31,23,7,2.6,155,"1,811","1,656",.914,5,"3,588"
Sergei Bobrovsky,FLA,51,30,17,3,2.7,134,"1,632","1,498",.918,2,"2,994"
Henrik Lundqvist,NYR,46,30,13,3,2.3,103,"1,329","1,226",.922,5,"2,743"
Ryan Miller,ANH,45,29,15,1,2.5,107,"1,198","1,091",.911,6,"2,542"
Semyon Varlamov,NYI,57,28,20,8,2.6,141,"1,791","1,650",.921,5,"3,307"
Roberto Luongo,FA,61,28,19,12,2.4,138,"1,743","1,605",.921,2,"3,528"
Brian Elliott,PHI,46,26,14,3,2.3,96,"1,150","1,054",.917,5,"2,546"
Jonas Hiller,FA,52,26,19,4,2.4,113,"1,376","1,263",.918,1,"2,871"
Cory Schneider,NJ,69,26,31,9,2.3,148,"1,982","1,834",.925,5,"3,924"
Jimmy Howard,DET,53,23,13,11,2.5,121,"1,350","1,229",.910,2,"2,971"
Jake Allen,STL,37,22,7,4,2.3,79,909,830,.913,4,"2,077"
Ondrej Pavelec,FA,50,22,16,8,2.3,108,"1,353","1,245",.920,5,"2,838"
Cam Ward,FA,51,22,24,5,2.4,121,"1,351","1,230",.910,1,"3,026"
Cam Talbot,CGY,36,21,9,4,2.2,77,"1,038",961,.926,5,"2,095"
Jonathan Bernier,DET,58,21,28,7,2.9,152,"1,735","1,583",.912,2,"3,177"
Michael Hutchinson,COL,38,21,10,5,2.4,85,986,901,.914,2,"2,138"
Andrew Hammond,BUF,24,20,1,2,1.8,42,707,665,.941,3,"1,411"
Jhonas Enroth,FA,50,18,26,2,3.1,145,"1,504","1,359",.904,2,"2,834"
Steve Mason,FA,51,18,18,11,2.3,108,"1,490","1,382",.928,3,"2,885"
Eddie Lack,FA,41,18,13,4,2.5,95,"1,201","1,106",.921,2,"2,324"
Petr Mrazek,CAR,29,16,9,2,2.4,63,768,705,.918,3,"1,585"
Karri Ramo,FA,34,15,9,3,2.6,75,852,777,.912,2,"1,732"
Ben Scrivens,FA,57,15,26,11,3.2,170,"1,542","1,372",.890,1,"3,228"
Darcy Kuemper,ARI,31,14,12,2,2.6,68,718,650,.905,3,"1,569"
