,,,Goalies,,,,,,,,,
Rick DiPietro,FA,8,3,2,3,3.8,22,177,155,.876,0,354
Jason LaBarbera,FA,19,3,9,3,2.6,43,486,443,.912,0,"1,015"
Jeff Deslauriers,FA,4,3,1,0,2.7,11,113,102,.903,0,241
Allen York,FA,11,3,2,0,2.3,16,199,183,.920,0,417
Ben Bishop,DAL,10,3,3,2,2.5,22,243,221,.909,0,532
Robin Lehner,VGK,5,3,2,0,2.0,10,154,144,.935,1,299
Brad Thiessen,CLS,5,3,1,0,3.8,16,113,97,.858,0,258
Marty Turco,FA,5,2,2,0,3.7,16,110,94,.855,0,261
Andrew Raycroft,FA,10,2,8,0,3.5,31,303,272,.898,0,529
Jacob Markstrom,VAN,7,2,4,1,2.7,17,222,205,.923,0,383
Kevin Poulin,FA,6,2,4,0,3.1,15,162,147,.907,0,296
Alex Auld,FA,14,2,4,2,3.4,36,310,274,.884,0,645
Justin Peters,FA,7,2,3,2,2.5,16,233,217,.931,1,387
Dan Ellis,FA,10,1,5,0,2.8,19,214,195,.911,0,419
Leland Irving,FA,7,1,3,3,3.2,21,239,218,.912,0,394
Sebastien Caron,PIT,3,1,1,0,3.2,7,57,50,.877,0,135
Brian Boucher,PHI,10,1,6,1,3.4,31,260,229,.881,0,546
Henrik Karlsson,CHI,9,1,4,2,3.2,24,239,215,.900,0,454
Curtis McElhinney,TB,2,1,0,0,1.7,2,36,34,.944,0,72
Anders Nilsson,OTT,4,1,2,0,2.8,10,112,102,.911,1,218
Iiro Tarkki,ANH,1,1,0,0,4.5,3,10,7,.700,0,41
Dustin Tokarski,PIT,5,1,3,1,3.5,14,116,102,.879,0,244
Anton Khudobin,DAL,1,1,0,0,1.0,1,45,44,.978,0,60
Jussi Rynnas,FA,2,0,1,0,4.3,7,40,33,.825,0,99
Drew MacIntyre,FA,2,0,0,0,1.4,1,18,17,.944,0,43
Mike Murphy,FA,2,0,1,0,0.0,0,9,9,1.000,0,36
Yann Danis,MON,1,0,0,0,3.8,2,12,10,.833,0,32
Shawn Hunwick,FA,1,0,0,0,0.0,0,0,0,.000,0,3
Peter Mannino,FA,1,0,0,0,0.0,0,4,4,1.000,0,20
Brian Foster,FA,1,0,0,0,0.0,0,1,1,1.000,0,5
