,,,Goalies,,,,,,,,,
Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
Pekka Rinne,NSH,73,43,18,8,2.4,166,"2,153","1,987",.923,5,"4,169"
Marc-Andre Fleury,VGK,67,42,17,4,2.4,153,"1,768","1,615",.913,3,"3,896"
Henrik Lundqvist,NYR,62,39,18,5,2.0,123,"1,753","1,630",.930,8,"3,754"
Mike Smith,EDM,67,38,18,10,2.2,144,"2,066","1,922",.930,8,"3,903"
Tim Thomas,FA,59,35,19,1,2.4,132,"1,659","1,527",.920,5,"3,352"
Jonathan Quick,LA,69,35,21,13,2.0,133,"1,863","1,730",.929,10,"4,099"
Miikka Kiprusoff,FA,70,35,22,11,2.4,162,"2,040","1,878",.921,4,"4,128"
Jimmy Howard,DET,57,35,17,4,2.1,119,"1,496","1,377",.920,6,"3,360"
Antti Niemi,FA,68,34,22,9,2.4,159,"1,865","1,706",.915,6,"3,936"
Ilya Bryzgalov,FA,59,33,16,7,2.5,141,"1,554","1,413",.909,6,"3,415"
Craig Anderson,OTT,63,33,22,6,2.9,165,"1,917","1,752",.914,3,"3,492"
Kari Lehtonen,FA,59,32,22,4,2.3,136,"1,739","1,603",.922,4,"3,497"
Roberto Luongo,FA,55,31,14,8,2.4,127,"1,577","1,450",.919,5,"3,162"
Martin Brodeur,FA,59,31,21,4,2.4,136,"1,472","1,336",.908,3,"3,392"
Ryan Miller,ANH,61,31,21,7,2.6,150,"1,788","1,638",.916,6,"3,536"
Cam Ward,FA,68,30,23,13,2.8,182,"2,143","1,961",.915,5,"3,988"
Corey Crawford,CHI,57,30,17,7,2.7,146,"1,507","1,361",.903,0,"3,218"
Ondrej Pavelec,FA,68,29,28,9,2.9,191,"2,036","1,845",.906,4,"3,932"
Jonas Hiller,FA,73,29,30,12,2.6,182,"2,021","1,839",.910,4,"4,253"
Jaroslav Halak,BOS,46,26,12,7,2.0,90,"1,211","1,121",.926,6,"2,747"
Semyon Varlamov,NYI,53,26,24,3,2.6,136,"1,564","1,428",.913,4,"3,151"
Carey Price,MON,65,26,28,11,2.4,160,"1,914","1,754",.916,4,"3,944"
Tomas Vokoun,FA,48,25,17,2,2.5,108,"1,299","1,191",.917,4,"2,583"
Mathieu Garon,FA,48,23,16,4,2.9,118,"1,191","1,073",.901,1,"2,484"
Brian Elliott,PHI,38,23,10,4,1.6,58,972,914,.940,9,"2,235"
Jose Theodore,FA,53,22,16,11,2.5,125,"1,502","1,377",.917,3,"3,049"
Devan Dubnyk,MIN,47,20,20,3,2.7,118,"1,380","1,262",.914,2,"2,653"
Cory Schneider,NJ,33,20,8,1,2.0,60,945,885,.937,3,"1,833"
Evgeni Nabokov,FA,42,19,18,3,2.6,101,"1,172","1,071",.914,2,"2,378"
Niklas Backstrom,FA,46,19,18,7,2.4,105,"1,299","1,194",.919,4,"2,590"
Jonas Gustavsson,FA,42,17,17,4,2.9,112,"1,147","1,035",.902,4,"2,301"
Johan Hedberg,FA,27,17,7,2,2.2,59,718,659,.918,4,"1,591"
Steve Mason,FA,46,16,26,3,3.4,143,"1,355","1,212",.894,1,"2,534"
Jean-Sebastien Giguere,FA,32,15,11,3,2.3,69,850,781,.919,2,"1,820"
Ray Emery,FA,34,15,9,4,2.8,83,834,751,.900,0,"1,774"
Scott Clemmensen,FA,30,14,6,6,2.6,67,773,706,.913,1,"1,566"
Sergei Bobrovsky,FLA,29,14,10,2,3.0,78,769,691,.899,0,"1,550"
James Reimer,CAR,34,14,14,4,3.1,97,974,877,.900,3,"1,879"
Josh Harding,FA,34,13,12,4,2.6,81,981,900,.917,2,"1,855"
Dwayne Roloson,FA,40,13,16,3,3.7,128,"1,126",998,.886,1,"2,099"
Michal Neuvirth,FA,38,13,13,5,2.8,95,976,881,.903,3,"2,020"
Nikolai Khabibulin,FA,40,12,20,7,2.7,100,"1,114","1,014",.910,2,"2,261"
Martin Biron,FA,21,12,6,2,2.5,50,519,469,.904,2,"1,220"
Tuukka Rask,BOS,23,11,8,3,2.1,44,621,577,.929,3,"1,289"
Curtis Sanford,FA,36,10,18,4,2.6,86,971,885,.911,1,"1,983"
Thomas Greiss,NYI,19,9,7,1,2.3,40,472,432,.915,0,"1,043"
Al Montoya,FA,31,9,11,5,3.1,89,832,743,.893,0,"1,720"
Richard Bachman,VAN,18,8,5,1,2.8,43,477,434,.910,1,933
Chris Mason,FA,20,8,7,1,2.6,43,422,379,.898,2,995
Joey MacDonald,FA,14,8,5,1,2.2,29,330,301,.912,0,806
Jhonas Enroth,FA,26,8,11,4,2.7,63,756,693,.917,1,"1,399"
Brent Johnson,FA,16,6,7,2,3.1,42,359,317,.883,0,811
Ty Conklin,FA,15,5,6,1,3.3,44,378,334,.884,1,805
Peter Budaj,FA,17,5,7,5,2.6,44,508,464,.913,0,"1,037"
Jonathan Bernier,DET,16,5,6,2,2.4,35,383,348,.909,1,890
Anders Lindback,FA,16,5,8,0,2.4,32,364,332,.912,0,792
Ben Scrivens,FA,12,4,5,2,3.1,35,359,324,.903,0,672
Braden Holtby,WAS,7,4,2,1,2.5,15,192,177,.922,1,361
Matt Hackett,FA,12,3,6,0,2.4,22,282,260,.922,0,556
