,,,Goalies,,,,,,,,,
Keith Kinkaid,MON,26,8,13,3,2.7,65,778,713,.916,1,"1,476"
Curtis McElhinney,TB,21,8,8,2,2.7,51,616,565,.917,1,"1,135"
Al Montoya,FA,19,8,6,4,2.7,50,569,519,.912,2,"1,125"
Eddie Lack,FA,20,8,7,3,2.7,48,492,444,.902,1,"1,090"
Darcy Kuemper,ARI,18,8,5,3,3.2,55,562,507,.902,0,"1,053"
Joonas Korpisalo,CLS,14,7,5,1,2.9,38,401,363,.905,1,791
Anton Khudobin,DAL,16,7,6,1,2.7,39,405,366,.904,0,885
Semyon Varlamov,NYI,24,6,17,0,3.4,76,745,669,.898,1,"1,348"
Jared Coreau,NYI,14,5,4,3,3.5,41,362,321,.887,2,712
Ondrej Pavelec,FA,8,4,4,0,3.6,26,233,207,.888,0,440
Laurent Brossoit,WPG,8,4,1,0,2.0,11,153,142,.928,0,332
Jean-Francois Berube,NYR,14,3,2,2,3.5,30,271,241,.889,0,527
Anthony Stolarz,ANH,7,2,1,1,2.1,13,181,168,.928,1,376
Michael Leighton,FA,4,2,2,0,3.4,12,92,80,.870,0,210
Charlie Lindgren,MON,2,2,0,0,1.5,3,59,56,.949,0,122
Richard Bachman,VAN,5,2,3,0,2.7,13,162,149,.920,0,295
Jeff Zatkoff,FA,13,2,7,1,3.0,27,223,196,.879,0,550
Magnus Hellberg,FA,2,1,0,0,1.6,2,28,26,.929,0,79
Antoine Bibeau,COL,2,1,1,0,2.0,4,55,51,.927,0,121
Jon Gillies,CGY,1,1,0,0,1.0,1,28,27,.964,0,60
Eric Comrie,WPG,1,1,0,0,4.1,4,39,35,.897,0,59
Alex Stalock,MIN,2,1,1,0,1.5,3,54,51,.944,0,119
Jonas Gustavsson,FA,7,1,3,1,3.1,17,139,122,.878,0,329
Jeremy Smith,FA,10,1,6,1,3.6,32,286,254,.888,0,543
Reto Berra,FA,7,0,5,0,3.5,18,145,127,.876,0,313
Kristers Gudlevskis,FA,1,0,0,0,0.0,0,3,3,1.000,0,11
Andrew Hammond,BUF,6,0,2,0,4.1,14,86,72,.837,0,206
Pheonix Copley,WAS,1,0,1,0,5.2,5,29,24,.828,0,59
Anton Forsberg,CAR,1,0,1,0,4.1,4,27,23,.852,0,59
Jack Campbell,TOR,1,0,0,0,0.0,0,5,5,1.000,0,20
Jhonas Enroth,FA,6,0,3,1,4.0,18,141,123,.872,0,274
David Rittich,CGY,1,0,0,0,3.0,1,10,9,.900,0,20
Malcolm Subban,CHI,1,0,1,0,6.0,3,16,13,.813,0,31
Tristan Jarry,PIT,1,0,1,0,3.1,3,25,22,.880,0,59
Spencer Martin,TB,3,0,2,1,4.4,13,96,83,.865,0,179
Justin Peters,FA,3,0,1,0,3.2,7,70,63,.900,0,133
Zane McIntyre,NJ,8,0,4,1,4.0,22,155,133,.858,0,333
Linus Ullmark,BUF,1,0,1,0,3.1,3,36,33,.917,0,59
Marek Langhamer,ARI,1,0,0,0,4.0,1,8,7,.875,0,16
Chris Driedger,FLA,1,0,1,0,6.0,4,15,11,.733,0,40
Dustin Tokarski,PIT,1,0,0,0,0.0,0,5,5,1.000,0,10
Marek Mazanec,FA,4,0,2,0,4.8,14,87,73,.839,0,178
Alex Nedeljkovic,CAR,1,0,0,0,0.0,0,17,17,1.000,0,30
