,,,Goalies,,,,,,,,,
Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
Cam Talbot,CGY,73,42,22,8,2.4,171,"2,117","1,946",.919,7,"4,294"
Braden Holtby,WAS,63,42,13,6,2.1,127,"1,690","1,563",.925,9,"3,680"
Sergei Bobrovsky,FLA,63,41,17,5,2.1,127,"1,854","1,727",.931,7,"3,707"
Devan Dubnyk,MIN,66,40,19,5,2.3,141,"1,850","1,709",.924,5,"3,778"
Tuukka Rask,BOS,65,37,20,5,2.2,137,"1,610","1,473",.915,8,"3,680"
Carey Price,MON,62,37,20,5,2.2,138,"1,794","1,656",.923,3,"3,708"
Martin Jones,SJ,65,35,23,6,2.4,152,"1,725","1,573",.912,2,"3,800"
Frederik Andersen,TOR,66,33,16,14,2.7,169,"2,052","1,883",.918,4,"3,799"
Jake Allen,STL,61,33,20,5,2.4,138,"1,620","1,482",.915,4,"3,418"
Corey Crawford,CHI,55,32,18,4,2.6,138,"1,691","1,553",.918,2,"3,247"
Matt Murray,PIT,49,32,10,4,2.4,111,"1,450","1,339",.923,4,"2,766"
Pekka Rinne,NSH,61,31,19,9,2.4,144,"1,757","1,613",.918,3,"3,568"
Henrik Lundqvist,NYR,57,31,20,4,2.8,148,"1,650","1,502",.910,2,"3,240"
Peter Budaj,FA,60,30,21,3,2.2,120,"1,414","1,294",.915,7,"3,308"
Steve Mason,FA,58,26,21,8,2.7,143,"1,556","1,413",.908,3,"3,225"
Connor Hellebuyck,WPG,56,26,19,4,2.9,146,"1,572","1,426",.907,4,"3,034"
Thomas Greiss,NYI,51,26,18,5,2.7,126,"1,453","1,327",.913,3,"2,813"
Brian Elliott,PHI,49,26,18,3,2.6,121,"1,338","1,217",.910,2,"2,844"
Cam Ward,FA,61,26,22,12,2.7,162,"1,711","1,549",.905,2,"3,618"
John Gibson,ANH,52,25,16,9,2.2,109,"1,437","1,328",.924,6,"2,950"
Craig Anderson,OTT,40,25,11,4,2.3,92,"1,247","1,155",.926,5,"2,421"
Robin Lehner,VGK,59,23,26,8,2.7,152,"1,910","1,758",.920,2,"3,405"
Andrei Vasilevskiy,TB,50,23,17,7,2.6,123,"1,480","1,357",.917,2,"2,831"
Kari Lehtonen,FA,59,22,25,7,2.9,151,"1,546","1,395",.902,3,"3,177"
Jonathan Bernier,DET,39,21,7,4,2.5,83,982,899,.915,2,"1,993"
Cory Schneider,NJ,60,20,27,11,2.8,163,"1,781","1,618",.908,2,"3,473"
Mike Condon,TB,41,19,14,6,2.5,96,"1,122","1,026",.914,5,"2,324"
Mike Smith,EDM,55,19,26,9,2.9,156,"1,819","1,663",.914,3,"3,202"
Marc-Andre Fleury,VGK,38,18,10,7,3.0,107,"1,181","1,074",.909,1,"2,125"
Ryan Miller,ANH,54,18,29,6,2.8,150,"1,737","1,587",.914,3,"3,212"
Petr Mrazek,CAR,50,18,21,9,3.1,145,"1,462","1,317",.901,1,"2,858"
Chad Johnson,FA,36,18,15,1,2.6,87,969,882,.910,3,"2,013"
Ben Bishop,DAL,39,18,15,5,2.6,94,"1,040",946,.910,1,"2,223"
James Reimer,CAR,43,18,16,5,2.5,98,"1,222","1,124",.920,3,"2,325"
Scott Darling,FA,32,18,5,5,2.4,67,877,810,.924,2,"1,689"
Roberto Luongo,FA,40,17,15,6,2.7,104,"1,217","1,113",.915,1,"2,327"
Antti Raanta,ARI,30,16,8,2,2.3,61,782,721,.922,4,"1,617"
Calvin Pickard,DET,50,15,31,2,3.0,140,"1,461","1,321",.904,2,"2,820"
Philipp Grubauer,COL,24,13,6,2,2.1,43,585,542,.926,3,"1,265"
Carter Hutton,BUF,30,13,8,2,2.4,58,663,605,.913,4,"1,459"
Jaroslav Halak,BOS,28,12,9,5,2.8,75,885,810,.915,2,"1,605"
Antti Niemi,FA,37,12,12,4,3.3,95,880,785,.892,0,"1,729"
Michal Neuvirth,FA,28,11,11,1,2.8,64,586,522,.891,0,"1,364"
Louis Domingue,VAN,31,11,15,1,3.1,82,888,806,.908,0,"1,599"
Aaron Dell,SJ,20,11,6,1,2.0,37,533,496,.931,1,"1,111"
Jacob Markstrom,VAN,26,10,11,3,2.6,62,692,630,.910,0,"1,417"
Juuse Saros,NSH,21,10,8,3,2.4,47,614,567,.923,1,"1,200"
Jimmy Howard,DET,26,10,11,1,2.1,49,675,626,.927,1,"1,397"
Anders Nilsson,OTT,26,10,10,4,2.7,66,857,791,.923,1,"1,484"
Michael Hutchinson,COL,28,9,12,3,2.9,67,690,623,.903,1,"1,378"
Jonathan Quick,LA,17,8,5,2,2.3,35,421,386,.917,2,931
