,,,Goalies,,,,,,,,,
Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
Keith Kinkaid,MON,6,1,1,3,4.3,24,192,168,.875,0,340
Antoine Bibeau,COL,2,1,0,0,3.3,5,42,37,.881,0,92
Cayden Primeau,MON,2,1,1,0,2.5,5,72,67,.931,0,119
Kasimir Kaskisuo,TOR,1,0,1,0,6.0,6,38,32,.842,0,60
Michael DiPietro,VAN,1,0,0,0,7.5,1,7,6,.857,0,8
Oscar Dansk,VGK,1,0,1,0,6.0,6,37,31,.838,0,60
Calvin Pickard,DET,3,0,2,0,5.5,15,74,59,.797,0,165
Garret Sparks,VGK,1,0,0,0,4.4,2,14,12,.857,0,27
Eric Comrie,WPG,3,0,2,0,4.3,9,66,57,.864,0,126
Gilles Senn,NJ,2,0,1,0,3.5,4,41,37,.902,0,70
Anthony Stolarz,ANH,1,0,1,0,2.1,2,35,33,.943,0,59
