,,,Goalies,,,,,,,,,
Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
Semyon Varlamov,NYI,63,41,14,6,2.4,146,"2,013","1,867",.927,2,"3,640"
Antti Niemi,FA,64,39,17,7,2.4,149,"1,705","1,556",.913,4,"3,740"
Marc-Andre Fleury,VGK,64,39,18,5,2.4,150,"1,774","1,624",.915,5,"3,792"
Ben Bishop,DAL,63,37,14,7,2.2,133,"1,758","1,625",.924,5,"3,586"
Tuukka Rask,BOS,58,36,15,6,2.0,115,"1,641","1,526",.930,7,"3,386"
Carey Price,MON,59,34,20,5,2.3,134,"1,828","1,694",.927,6,"3,464"
Henrik Lundqvist,NYR,63,33,24,5,2.4,144,"1,810","1,666",.920,5,"3,655"
Kari Lehtonen,FA,65,33,20,10,2.4,153,"1,888","1,735",.919,5,"3,804"
Steve Mason,FA,61,33,18,7,2.5,145,"1,751","1,606",.917,4,"3,486"
Corey Crawford,CHI,59,32,16,10,2.3,128,"1,533","1,405",.917,2,"3,395"
Sergei Bobrovsky,FLA,58,32,20,5,2.4,131,"1,699","1,568",.923,5,"3,299"
Jaroslav Halak,BOS,52,29,13,7,2.3,110,"1,385","1,275",.921,5,"2,939"
Jonas Hiller,FA,50,29,13,7,2.5,120,"1,348","1,228",.911,5,"2,909"
Jonathan Quick,LA,49,27,17,4,2.1,100,"1,183","1,083",.915,6,"2,904"
Mike Smith,EDM,62,27,21,10,2.7,159,"1,871","1,712",.915,3,"3,610"
Jonathan Bernier,DET,55,26,19,7,2.7,138,"1,787","1,649",.923,1,"3,084"
Ryan Miller,ANH,59,25,30,4,2.7,154,"1,885","1,731",.918,1,"3,500"
Craig Anderson,OTT,53,25,16,8,3.0,150,"1,680","1,530",.911,4,"3,000"
Roberto Luongo,FA,56,25,23,7,2.4,129,"1,589","1,460",.919,4,"3,222"
Braden Holtby,WAS,48,23,15,4,2.9,126,"1,475","1,349",.915,4,"2,656"
Ondrej Pavelec,FA,57,22,26,7,3.0,163,"1,644","1,481",.901,1,"3,248"
Jimmy Howard,DET,51,21,19,11,2.7,133,"1,482","1,349",.910,2,"3,004"
Carter Hutton,BUF,40,20,11,4,2.6,91,"1,006",915,.910,1,"2,085"
Frederik Andersen,TOR,28,20,5,0,2.3,60,783,723,.923,0,"1,569"
Martin Brodeur,FA,40,19,14,6,2.5,96,972,876,.901,3,"2,302"
Anton Khudobin,DAL,36,19,14,1,2.3,80,"1,076",996,.926,1,"2,084"
Tim Thomas,FA,48,18,24,4,2.9,128,"1,390","1,262",.908,0,"2,662"
Brian Elliott,PHI,31,18,6,2,2.0,53,681,628,.922,4,"1,624"
Josh Harding,FA,29,18,7,3,1.7,46,690,644,.933,3,"1,668"
Chad Johnson,FA,27,17,4,3,2.1,53,708,655,.925,2,"1,511"
Karri Ramo,FA,40,17,15,4,2.7,97,"1,091",994,.911,2,"2,194"
Ben Scrivens,FA,40,16,16,4,2.6,94,"1,205","1,111",.922,4,"2,210"
Eddie Lack,FA,41,16,17,5,2.4,93,"1,052",959,.912,4,"2,319"
Cory Schneider,NJ,45,16,15,12,2.0,88,"1,107","1,019",.921,3,"2,680"
Jonas Gustavsson,FA,27,16,5,4,2.6,68,735,667,.907,0,"1,551"
Evgeni Nabokov,FA,40,15,14,8,2.8,103,"1,085",982,.905,4,"2,254"
Al Montoya,FA,28,13,8,3,2.3,59,737,678,.920,2,"1,541"
Antti Raanta,ARI,25,13,5,4,2.7,63,610,547,.897,1,"1,397"
Ilya Bryzgalov,FA,32,12,9,8,2.7,81,891,810,.909,4,"1,814"
James Reimer,CAR,36,12,16,1,3.3,98,"1,095",997,.911,1,"1,785"
Alex Stalock,MIN,24,12,5,2,1.9,39,571,532,.932,2,"1,252"
Martin Jones,SJ,19,12,6,0,1.8,33,500,467,.934,4,"1,095"
Darcy Kuemper,ARI,26,12,8,4,2.4,60,702,642,.915,2,"1,480"
Robin Lehner,VGK,36,12,15,6,3.1,99,"1,141","1,042",.913,1,"1,942"
Jeff Zatkoff,FA,20,12,6,2,2.6,51,582,531,.912,1,"1,171"
Cam Talbot,CGY,21,12,6,1,1.6,33,560,527,.941,3,"1,211"
Kevin Poulin,FA,28,11,16,1,3.3,89,820,731,.891,0,"1,625"
Devan Dubnyk,MIN,34,11,18,3,3.5,103,945,842,.891,2,"1,802"
Jean-Sebastien Giguere,FA,22,11,6,1,2.6,53,608,555,.913,2,"1,212"
Thomas Greiss,NYI,25,10,8,5,2.3,50,626,576,.920,2,"1,312"
Cam Ward,FA,30,10,12,6,3.1,84,824,740,.898,0,"1,645"
Curtis McElhinney,TB,28,10,11,1,2.7,64,703,639,.909,2,"1,423"
Peter Budaj,FA,24,10,8,3,2.5,56,615,559,.909,1,"1,338"
Pekka Rinne,NSH,24,10,10,3,2.8,63,645,582,.902,2,"1,367"
Reto Berra,FA,31,9,18,3,3.1,88,820,732,.893,0,"1,720"
Ray Emery,FA,28,9,12,2,3.0,69,711,642,.903,2,"1,398"
Anders Nilsson,OTT,19,8,7,2,3.1,57,548,491,.896,0,"1,101"
Marek Mazanec,FA,25,8,10,4,2.8,64,650,586,.902,2,"1,370"
Anders Lindback,FA,23,8,12,2,2.9,63,580,517,.891,1,"1,302"
Justin Peters,FA,21,7,9,4,2.5,51,626,575,.919,1,"1,225"
Philipp Grubauer,COL,17,6,5,5,2.4,35,469,434,.925,0,883
Scott Clemmensen,FA,17,6,7,1,3.1,47,454,407,.896,0,914
Joey MacDonald,FA,11,5,4,1,2.9,29,264,235,.890,0,599
Niklas Backstrom,FA,21,5,11,2,3.0,55,546,491,.899,0,"1,094"
Dan Ellis,FA,20,5,11,0,3.6,62,514,452,.879,1,"1,027"
Viktor Fasth,FA,12,5,5,2,2.8,33,340,307,.903,0,701
Jhonas Enroth,FA,28,4,17,5,2.8,74,834,760,.911,0,"1,574"
Michal Neuvirth,FA,15,4,8,2,2.8,41,517,476,.921,0,884
