,,,Goalies,,,,,,,,,
Joni Ortio,FA,9,4,4,0,2.5,21,193,172,.891,0,501
John Gibson,ANH,3,3,0,0,1.3,4,87,83,.954,1,181
Dustin Tokarski,PIT,3,2,0,0,1.8,5,93,88,.946,1,163
Jacob Markstrom,VAN,16,2,8,3,3.4,46,361,315,.873,0,813
Petr Mrazek,CAR,9,2,4,0,1.7,13,178,165,.927,2,449
Michael Hutchinson,COL,3,2,1,0,1.6,5,88,83,.943,0,183
Niklas Svedberg,FA,1,1,0,0,2.0,2,35,33,.943,0,61
Kristers Gudlevskis,FA,1,1,0,0,2.0,2,38,36,.947,0,60
Nikolai Khabibulin,FA,4,1,0,1,5.0,14,74,60,.811,0,168
John Curry,FA,2,1,0,0,3.0,4,57,53,.930,0,80
Jason LaBarbera,FA,7,1,3,0,3.3,19,146,127,.870,0,348
Nathan Lieuwen,FA,7,1,4,0,3.0,18,191,173,.906,0,363
Matt Hackett,FA,8,1,6,1,3.1,22,239,217,.908,0,426
Mike McKenna,FA,4,1,1,1,3.0,11,114,103,.904,0,219
Mark Visentin,FA,1,0,1,0,3.1,3,32,29,.906,0,59
Cristopher Nilstorp,FA,1,0,0,0,4.6,3,17,14,.824,0,39
Cal Heeter,TOR,1,0,0,1,4.8,5,38,33,.868,0,64
Jack Campbell,TOR,1,0,1,0,6.0,6,47,41,.872,0,60
Sami Aittokallio,FA,1,0,1,0,4.5,3,18,15,.833,0,40
Connor Knapp,FA,2,0,0,1,3.2,4,32,28,.875,0,77
Cedrick Desjardins,FA,1,0,1,0,6.7,2,13,11,.846,0,18
Magnus Hellberg,FA,1,0,0,0,5.0,1,4,3,.750,0,12
Drew MacIntyre,FA,2,0,1,0,2.6,4,51,47,.922,0,95
Richard Bachman,VAN,3,0,2,1,3.1,7,83,76,.916,0,139
Kent Simpson,COL,1,0,0,0,6.0,2,7,5,.714,0,20
Martin Biron,FA,2,0,1,0,7.8,9,38,29,.763,0,71
Nathan Lawson,FA,1,0,0,0,10.9,2,10,8,.800,0,12
Andrew Hammond,BUF,1,0,0,0,0.0,0,11,11,1.000,0,35
Joacim Eriksson,FA,1,0,0,0,10.0,6,31,25,.806,0,36
