,Season,Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
251,2011,Dan Ellis,FA,10,1,5,0,2.8,19,214,195,0.9109999999999999,0,419
252,2011,Leland Irving,FA,7,1,3,3,3.2,21,239,218,0.912,0,394
253,2011,Sebastien Caron,PIT,3,1,1,0,3.2,7,57,50,0.877,0,135
254,2011,Brian Boucher,PHI,10,1,6,1,3.4,31,260,229,0.8809999999999999,0,546
255,2011,Henrik Karlsson,CHI,9,1,4,2,3.2,24,239,215,0.9,0,454
256,2011,Curtis McElhinney,TB,2,1,0,0,1.7,2,36,34,0.9440000000000001,0,72
257,2011,Anders Nilsson,OTT,4,1,2,0,2.8,10,112,102,0.9109999999999999,1,218
258,2011,Iiro Tarkki,ANH,1,1,0,0,4.5,3,10,7,0.7,0,41
259,2011,Dustin Tokarski,PIT,5,1,3,1,3.5,14,116,102,0.879,0,244
260,2011,Anton Khudobin,DAL,1,1,0,0,1.0,1,45,44,0.978,0,60
261,2011,Jussi Rynnas,FA,2,0,1,0,4.3,7,40,33,0.825,0,99
262,2011,Drew MacIntyre,FA,2,0,0,0,1.4,1,18,17,0.9440000000000001,0,43
263,2011,Mike Murphy,FA,2,0,1,0,0.0,0,9,9,1.0,0,36
264,2011,Yann Danis,MON,1,0,0,0,3.8,2,12,10,0.833,0,32
265,2011,Shawn Hunwick,FA,1,0,0,0,0.0,0,0,0,0.0,0,3
266,2011,Peter Mannino,FA,1,0,0,0,0.0,0,4,4,1.0,0,20
267,2011,Brian Foster,FA,1,0,0,0,0.0,0,1,1,1.0,0,5
268,2016,Cam Talbot,CGY,73,42,22,8,2.4,171,2117,1946,0.919,7,4294
269,2016,Braden Holtby,WAS,63,42,13,6,2.1,127,1690,1563,0.925,9,3680
270,2016,Sergei Bobrovsky,FLA,63,41,17,5,2.1,127,1854,1727,0.9309999999999999,7,3707
271,2016,Devan Dubnyk,MIN,66,40,19,5,2.3,141,1850,1709,0.924,5,3778
272,2016,Tuukka Rask,BOS,65,37,20,5,2.2,137,1610,1473,0.915,8,3680
273,2016,Carey Price,MON,62,37,20,5,2.2,138,1794,1656,0.9229999999999999,3,3708
274,2016,Martin Jones,SJ,65,35,23,6,2.4,152,1725,1573,0.912,2,3800
275,2016,Frederik Andersen,TOR,66,33,16,14,2.7,169,2052,1883,0.9179999999999999,4,3799
276,2016,Jake Allen,STL,61,33,20,5,2.4,138,1620,1482,0.915,4,3418
277,2016,Corey Crawford,CHI,55,32,18,4,2.6,138,1691,1553,0.9179999999999999,2,3247
278,2016,Matt Murray,PIT,49,32,10,4,2.4,111,1450,1339,0.9229999999999999,4,2766
279,2016,Pekka Rinne,NSH,61,31,19,9,2.4,144,1757,1613,0.9179999999999999,3,3568
280,2016,Henrik Lundqvist,NYR,57,31,20,4,2.8,148,1650,1502,0.91,2,3240
281,2016,Peter Budaj,FA,60,30,21,3,2.2,120,1414,1294,0.915,7,3308
282,2016,Steve Mason,FA,58,26,21,8,2.7,143,1556,1413,0.9079999999999999,3,3225
