,,,,Overall,,,,,,,PP,,SH,,Defense,
Shawn Matthias,FA,C,48,14,7,21,-8,16,106,1,2,1,1,0,66,21
Patrik Elias,FA,LW,48,14,22,36,5,22,118,0,5,9,1,0,20,14
Alexander Semin,FA,LW,44,13,31,44,14,46,150,1,4,5,0,1,14,21
Nathan Horton,TOR,RW,43,13,9,22,1,22,114,1,0,1,0,0,41,10
Claude Giroux,PHI,C,48,13,35,48,-7,22,137,2,6,15,1,0,57,29
Antoine Vermette,FA,C,48,13,8,21,-3,36,91,3,3,0,0,0,63,35
Jeff Skinner,BUF,LW,42,13,11,24,-21,26,159,0,5,4,0,0,21,11
Jussi Jokinen,FA,LW,43,13,9,22,-5,24,74,3,3,4,0,0,17,22
Alex Burrows,FA,RW,47,13,11,24,15,54,140,2,1,2,0,0,52,15
Andrew Cogliano,DAL,LW,48,13,10,23,14,6,79,1,0,0,2,0,40,24
Mark Letestu,WPG,C,46,13,14,27,7,10,92,2,3,2,2,0,36,12
Shane Doan,FA,RW,48,13,14,27,6,37,129,2,0,3,0,0,118,10
Devin Setoguchi,FA,RW,48,13,14,27,5,20,97,3,5,1,0,0,92,19
Michael Cammalleri,FA,LW,44,13,19,32,-15,25,102,3,5,10,0,0,20,9
Mike Ribeiro,FA,C,48,13,36,49,-4,53,63,1,6,21,0,0,55,29
Brenden Morrow,FA,LW,44,12,13,25,-3,37,55,2,2,2,0,0,85,20
Jamie Benn,DAL,C,41,12,21,33,-12,40,110,3,3,7,0,0,71,32
Kyle Turris,NSH,C,48,12,17,29,6,24,118,2,3,6,0,0,30,20
Radim Vrbata,FA,RW,34,12,16,28,6,14,106,1,2,10,1,0,26,14
Tomas Fleischmann,FA,LW,48,12,23,35,-10,16,121,2,2,11,1,0,29,10
Derick Brassard,NYI,C,47,12,17,29,1,16,88,1,3,8,0,0,83,8
David Legwand,FA,C,48,12,13,25,-6,20,78,2,2,2,0,0,20,20
Tyler Bozak,STL,C,46,12,16,28,-1,6,61,3,4,5,1,0,65,23
Damien Brunner,FA,RW,44,12,14,26,-6,12,123,1,3,7,0,0,20,2
Mike Green,EDM,D,35,12,14,26,-3,20,96,2,4,10,0,0,36,61
Daniel Sedin,FA,LW,47,12,28,40,12,18,138,3,3,9,0,0,15,7
Marian Gaborik,OTT,RW,47,12,15,27,-3,14,151,5,1,8,0,0,21,18
Mike Richards,FA,C,48,12,20,32,-8,42,82,3,6,9,0,0,58,19
Loui Eriksson,VAN,RW,48,12,17,29,-9,8,104,3,2,8,1,0,6,18
Vinny Prospal,FA,LW,48,12,18,30,3,32,85,2,4,3,0,0,37,18
Teemu Selanne,FA,RW,46,12,12,24,-10,28,96,1,3,4,0,0,8,10
Martin Hanzal,DAL,C,39,11,12,23,2,24,93,2,4,3,0,1,100,17
Teddy Purcell,FA,RW,48,11,25,36,-1,12,94,2,3,10,0,0,11,7
Mikko Koivu,MIN,C,48,11,26,37,2,26,127,3,0,13,0,0,47,18
Josh Bailey,NYI,LW,38,11,8,19,7,6,76,1,0,2,0,0,24,22
P.K. Subban,NJ,D,42,11,27,38,12,57,126,0,7,19,0,0,51,49
Gabriel Bourque,WPG,LW,34,11,5,16,6,4,50,2,3,0,1,0,39,23
Bobby Ryan,OTT,RW,46,11,19,30,3,17,101,1,2,4,0,0,80,29
Artem Anisimov,OTT,C,35,11,7,18,-6,12,68,3,1,0,0,0,13,24
Ray Whitney,FA,LW,32,11,18,29,1,4,62,1,4,8,0,0,10,14
Henrik Sedin,FA,C,48,11,34,45,19,24,70,1,1,12,1,0,22,9
Dany Heatley,FA,LW,36,11,10,21,-12,8,83,1,3,4,0,0,26,22
Henrik Zetterberg,DET,LW,46,11,37,48,2,18,173,5,4,19,2,0,20,10
Brandon Sutter,VAN,C,48,11,8,19,3,4,82,5,3,1,0,0,30,32
Adam Henrique,ANH,C,42,11,5,16,-3,16,78,2,3,1,2,1,27,21
Ilya Kovalchuk,WAS,RW,37,11,20,31,-6,18,123,5,2,12,4,0,13,12
Joffrey Lupul,FA,LW,16,11,7,18,8,12,42,3,3,0,0,0,31,7
Justin Williams,CAR,RW,48,11,22,33,15,22,142,3,1,5,0,0,29,12
Matt Read,TOR,RW,42,11,13,24,1,2,72,2,1,2,0,0,49,32
Alex Tanguay,FA,LW,40,11,16,27,-13,22,44,1,2,7,1,0,24,28
Brad Richards,FA,C,46,11,23,34,8,14,110,1,3,6,0,0,25,43
Jamie McGinn,FA,LW,47,11,11,22,-13,26,128,2,3,4,0,0,82,16
Cory Conacher,TB,LW,47,11,18,29,3,20,67,3,1,3,0,0,39,9
Daniel Alfredsson,FA,RW,47,10,16,26,1,33,101,2,3,8,0,1,28,30
Tyler Ennis,EDM,LW,47,10,21,31,-14,16,108,0,2,12,0,0,28,25
Kyle Palmieri,NJ,RW,42,10,11,21,2,9,92,5,2,1,0,0,48,10
Vincent Lecavalier,FA,C,39,10,22,32,-5,29,86,0,5,4,0,0,74,13
Jiri Hudler,FA,RW,42,10,17,27,-13,22,56,0,5,3,0,0,16,5
Anze Kopitar,LA,C,47,10,32,42,14,16,98,1,0,16,0,0,70,25
Keith Yandle,FLA,D,48,10,20,30,4,54,130,3,5,5,0,0,18,40
Mason Raymond,FA,LW,46,10,12,22,2,16,79,1,4,2,0,0,18,8
Carl Hagelin,WAS,LW,48,10,14,24,10,18,132,1,1,0,0,0,49,28
Chris Higgins,FA,LW,41,10,5,15,-4,10,77,1,0,0,0,0,46,22
Mike Fisher,FA,C,38,10,11,21,6,27,68,0,1,5,0,0,67,46
Patrice Bergeron,BOS,C,42,10,22,32,24,18,125,3,2,2,0,1,28,25
David Perron,STL,RW,48,10,15,25,0,44,84,2,2,4,0,0,48,11
David Krejci,BOS,C,47,10,23,33,1,20,93,5,0,7,0,0,41,27
Jordan Staal,CAR,C,48,10,21,31,-18,32,114,1,1,6,0,1,105,20
Brad Boyes,FA,RW,48,10,25,35,-6,16,97,1,1,12,0,0,44,20
Daniel Paille,FA,LW,46,10,7,17,3,8,70,1,0,1,2,0,45,15
Jakob Silfverberg,ANH,RW,48,10,9,19,9,12,134,2,2,1,1,0,38,13
Andrei Markov,FA,D,48,10,20,30,-9,14,79,4,8,15,0,0,22,60
John Mitchell,FA,C,47,10,10,20,5,18,72,1,1,2,0,0,99,43
Jannik Hansen,FA,RW,47,10,17,27,12,8,99,2,1,2,0,0,55,10
David Desharnais,FA,C,48,10,18,28,-2,26,66,3,2,5,0,0,26,18
Brandon Saad,CHI,LW,46,10,17,27,17,12,98,2,0,3,1,0,41,12
Justin Abdelkader,DET,LW,48,10,3,13,6,34,96,0,0,0,0,0,120,13
Brent Burns,SJ,D,30,9,11,20,0,20,81,0,2,1,0,0,54,13
Matt Calvert,COL,LW,42,9,7,16,-9,32,63,2,0,0,1,0,57,24
Nick Spaling,FA,C,47,9,4,13,-10,18,57,2,1,1,0,1,38,21
Magnus Paajarvi,FA,LW,42,9,7,16,-1,14,75,2,2,0,1,0,24,23
Andrew Shaw,CHI,C,48,9,6,15,6,38,64,2,2,0,0,0,70,14
Alex Galchenyuk,MIN,RW,48,9,18,27,14,20,79,2,0,1,0,0,23,25
Valtteri Filppula,DET,C,41,9,8,17,-4,6,78,0,3,0,0,0,16,12
Ales Hemsky,FA,RW,38,9,11,20,-6,16,82,1,5,4,0,0,11,9
Dan Cleary,FA,LW,48,9,6,15,-6,40,93,0,5,0,1,0,56,21
Dion Phaneuf,FA,D,48,9,19,28,-4,65,88,1,3,13,0,0,131,91
Shea Weber,MON,D,48,9,19,28,-2,48,124,1,3,9,0,0,112,90
Gabriel Landeskog,COL,LW,36,9,8,17,-4,22,109,1,0,2,3,0,86,32
Erik Cole,FA,RW,47,9,4,13,-6,20,86,2,1,2,0,0,101,27
Mikhail Grabovski,FA,C,48,9,7,16,-10,24,80,1,0,3,0,0,34,20
Cam Atkinson,CLS,RW,35,9,9,18,9,4,91,1,1,1,0,0,24,16
Steve Ott,FA,C,48,9,15,24,3,93,73,3,2,1,0,2,187,21
Bryan Bickell,FA,LW,48,9,14,23,12,25,82,2,0,0,0,0,108,13
Evgeni Malkin,PIT,C,31,9,24,33,5,36,99,3,4,14,0,0,12,11
Marcel Goc,FA,C,42,9,10,19,-6,8,92,1,4,2,0,0,73,20
Viktor Stalberg,FA,LW,47,9,14,23,16,25,113,1,0,2,0,0,43,14
Eric Fehr,FA,RW,41,9,8,17,14,10,72,2,2,1,1,0,36,22
Lee Stempniak,FA,RW,47,9,23,32,2,12,113,2,4,2,0,4,47,17
Paul Stastny,VGK,C,40,9,15,24,-7,14,87,1,2,8,0,0,21,29
Roman Cervenka,FA,C,39,9,8,17,-13,14,51,0,1,3,0,0,7,4
Vladimir Tarasenko,STL,RW,38,8,11,19,1,10,75,1,3,2,0,0,28,7
Brayden Schenn,STL,C,47,8,18,26,-8,24,79,0,2,8,0,0,109,22
Benoit Pouliot,FA,LW,34,8,12,20,8,15,60,1,0,3,0,0,35,6
Mikael Backlund,CGY,C,32,8,8,16,-6,29,88,1,2,2,0,0,31,19
Scott Hartnell,FA,LW,32,8,3,11,-5,70,74,1,4,1,0,0,68,21
Patrick Dwyer,FA,RW,46,8,8,16,-7,12,93,0,1,0,1,0,57,28
Vladimir Sobotka,BUF,C,48,8,11,19,-4,35,69,2,1,3,0,0,98,16
Justin Schultz,PIT,D,48,8,19,27,-17,8,85,3,4,11,0,0,15,35
Brent Seabrook,CHI,D,47,8,12,20,12,23,65,1,3,4,0,0,106,103
Joel Ward,FA,RW,39,8,12,20,7,12,52,1,1,2,1,0,37,28
Dustin Byfuglien,FA,D,43,8,20,28,-1,34,142,2,4,6,0,0,80,47
Brian Campbell,FA,D,48,8,19,27,-22,12,70,2,6,11,0,0,14,65
Lars Eller,WAS,C,46,8,22,30,8,45,84,1,1,4,0,0,86,33
Matt Beleskey,NYR,LW,42,8,5,13,2,56,61,1,2,0,0,0,103,16
Jason Garrison,FA,D,47,8,8,16,18,28,94,2,3,3,0,0,36,58
Nicklas Backstrom,WAS,C,48,8,40,48,8,20,82,1,3,15,0,0,31,35
Alexander Edler,VAN,D,45,8,14,22,-5,37,113,0,5,5,0,0,77,81
Cody McLeod,FA,LW,48,8,4,12,4,83,79,0,0,1,0,0,106,17
Jay McClement,FA,C,48,8,9,17,0,11,48,0,0,0,0,0,76,39
Peter Mueller,FA,LW,43,8,9,17,-11,18,131,0,2,2,0,0,29,10
Andrei Loktionov,FA,C,28,8,4,12,-2,4,47,0,1,2,0,0,6,8
Martin Havlat,FA,RW,40,8,10,18,7,30,89,1,1,3,0,0,6,13
R.J. Umberger,FA,LW,48,8,10,18,3,16,96,0,2,3,0,0,51,45
Colin Greening,FA,LW,47,8,11,19,5,11,80,2,2,2,0,0,122,24
Kyle Brodziak,FA,C,48,8,4,12,-18,20,88,1,1,1,1,0,54,18
Steve Bernier,NYI,RW,47,8,7,15,-7,17,88,1,2,2,0,0,64,15
Pierre-Marc Bouchard,FA,LW,43,8,12,20,3,8,71,2,0,2,0,0,12,6
Saku Koivu,FA,C,47,8,19,27,4,18,55,0,4,4,0,0,31,15
Charlie Coyle,BOS,C,37,8,6,14,3,28,50,2,1,0,0,0,50,9
Clarke MacArthur,OTT,LW,40,8,12,20,3,26,62,1,2,2,0,0,44,15
Tom Pyatt,FA,C,43,8,8,16,5,12,60,1,0,0,0,0,22,36
Matt Cooke,FA,LW,48,8,13,21,-2,36,61,1,0,0,0,0,97,41
Alexander Steen,STL,LW,40,8,19,27,5,14,129,3,3,6,0,0,28,22
Joe Thornton,SJ,C,48,7,33,40,6,26,85,1,2,19,0,0,23,21
Raffi Torres,FA,LW,39,7,11,18,0,17,60,0,1,0,0,0,87,15
Bryan Little,WPG,C,48,7,25,32,8,4,84,2,2,3,0,1,32,19
Milan Lucic,CGY,LW,46,7,20,27,8,75,79,0,0,2,0,0,139,16
Rene Bourque,FA,LW,27,7,6,13,-1,32,63,1,2,1,0,0,37,11
Jaden Schwartz,STL,LW,45,7,6,13,-4,4,50,1,0,0,0,0,34,18
Matt Frattin,FA,RW,25,7,6,13,6,4,42,3,0,0,0,0,55,11
Antoine Roussel,VAN,LW,39,7,7,14,3,85,46,0,0,0,0,0,75,16
Mika Zibanejad,NYR,C,42,7,13,20,9,6,90,0,3,1,0,0,82,19
Zack Kassian,EDM,RW,39,7,4,11,-7,51,49,1,2,1,0,0,70,4
Nate Thompson,PHI,C,45,7,8,15,-2,17,58,0,0,0,0,0,85,31
Dave Bolland,FA,C,35,7,7,14,-7,22,46,1,1,2,0,1,43,18
Nikolay Kulemin,FA,RW,48,7,16,23,-5,22,72,0,0,0,0,0,122,47
Cody Eakin,WPG,C,48,7,17,24,1,31,67,1,3,0,0,0,71,29
Derek Roy,FA,C,42,7,21,28,4,6,85,1,2,6,0,1,15,30
Colin Wilson,COL,LW,25,7,12,19,1,4,26,1,2,4,0,0,10,13
T.J. Oshie,WAS,RW,30,7,13,20,-5,15,65,1,2,8,1,1,33,24
Andy McDonald,FA,LW,37,7,14,21,-2,16,86,2,1,6,0,0,10,13
Jarret Stoll,FA,C,48,7,11,18,1,28,73,3,1,4,1,1,107,44
Sheldon Souray,FA,D,44,7,10,17,19,52,80,3,2,3,0,0,34,58
Dan Boyle,FA,D,46,7,13,20,3,27,97,0,5,8,0,1,29,81
Kyle Clifford,TOR,LW,48,7,7,14,1,51,56,1,0,0,0,0,155,12
Matt Cullen,FA,C,42,7,20,27,9,10,79,0,0,4,0,0,18,18
Alex Killorn,TB,C,38,7,12,19,-6,14,82,2,1,2,0,0,40,22
Mikkel Boedker,OTT,LW,48,7,19,26,0,12,83,2,3,4,0,0,77,17
Travis Zajac,NJ,C,48,7,13,20,-5,22,82,1,1,3,1,0,33,10
Zdeno Chara,BOS,D,48,7,12,19,14,70,119,2,3,1,0,1,101,64
Colin McDonald,NYI,RW,45,7,10,17,-1,32,82,0,1,0,0,0,120,9
Olli Jokinen,FA,C,45,7,7,14,-19,14,85,0,0,1,0,0,91,27
Steve Sullivan,NJ,LW,42,7,10,17,-12,24,61,1,4,4,0,0,12,3
Shawn Horcoff,FA,C,31,7,5,12,8,24,41,1,3,1,0,0,24,20
Jay Bouwmeester,STL,D,47,7,15,22,-6,22,79,0,1,6,0,2,41,61
Eric Nystrom,FA,LW,48,7,4,11,-3,61,49,3,0,0,1,0,122,26
Jake Muzzin,TOR,D,45,7,9,16,16,35,77,1,3,4,0,0,70,29
Kyle Wellwood,FA,C,39,6,9,15,0,2,37,2,0,2,0,0,10,10
Ryan Malone,FA,LW,24,6,2,8,-3,22,37,1,2,0,0,0,49,9
Mark Streit,FA,D,48,6,21,27,-14,22,83,1,3,8,0,0,34,86
Kevin Bieksa,FA,D,36,6,6,12,6,48,77,1,2,1,0,0,60,50
Dennis Wideman,FA,D,46,6,16,22,-9,12,94,1,4,9,0,1,40,100
Patrick Sharp,FA,LW,28,6,14,20,8,14,88,1,1,6,0,0,26,12
Erik Karlsson,SJ,D,17,6,8,14,8,8,79,2,2,2,1,0,10,14
Ryan Carter,FA,LW,44,6,9,15,-2,31,63,1,0,0,1,2,50,15
Rich Peverley,FA,C,47,6,12,18,-9,16,95,0,2,4,0,2,23,21
Daniel Briere,FA,RW,34,6,10,16,-13,10,87,1,3,3,0,0,15,6
Joe Corvo,FA,D,40,6,11,17,-3,14,71,2,3,5,0,0,27,38
Blake Comeau,DAL,LW,42,6,6,12,-4,20,48,1,0,0,1,0,95,12
Paul Martin,FA,D,34,6,17,23,14,16,38,1,2,7,0,0,17,50
Francois Beauchemin,FA,D,48,6,18,24,19,22,74,0,1,7,0,0,81,111
Tyler Kennedy,FA,LW,46,6,5,11,-6,19,100,1,1,2,0,0,41,9
Nick Foligno,CLS,LW,45,6,13,19,6,28,69,2,1,2,0,0,99,33
Drew Stafford,FA,RW,46,6,12,18,-16,21,121,0,0,3,0,0,46,9
Brian Flynn,FA,C,26,6,5,11,6,0,49,1,0,0,1,0,10,20
John Carlson,WAS,D,48,6,16,22,11,18,97,0,0,5,0,0,59,123
Slava Voynov,FA,D,48,6,19,25,5,14,79,2,1,7,0,0,83,48
Mathieu Perreault,WPG,C,39,6,11,17,7,20,47,1,2,1,0,0,28,8
Lauri Korpikoski,FA,LW,36,6,5,11,-3,12,83,0,1,1,0,0,71,27
Matt Irwin,ANH,D,38,6,6,12,-1,10,79,0,4,1,0,0,39,65
Ryan O'Reilly,STL,C,29,6,14,20,-3,4,66,0,3,3,0,0,7,14
Guillaume Latendresse,FA,LW,27,6,4,10,-2,8,53,0,1,0,0,0,42,8
David Backes,ANH,RW,48,6,22,28,5,62,100,1,1,4,0,1,158,41
Daniel Winnik,FA,LW,48,6,13,19,13,16,95,1,0,0,0,0,63,37
Nik Antropov,FA,C,40,6,12,18,6,16,56,0,2,1,0,0,76,27
Taylor Pyatt,FA,LW,48,6,5,11,5,6,56,0,1,1,0,0,85,28
Nick Leddy,NYI,D,48,6,12,18,15,10,65,2,2,6,0,0,38,39
Casey Cizikas,NYI,C,45,6,9,15,0,14,45,1,0,1,0,0,75,21
Drew Doughty,LA,D,48,6,16,22,4,36,114,0,3,7,0,0,128,46
Marcus Johansson,BUF,LW,34,6,16,22,3,4,40,1,3,1,0,1,14,6
Alex Chiasson,EDM,RW,7,6,1,7,3,0,13,1,1,0,0,0,10,2
Frans Nielsen,DET,C,48,6,23,29,-3,12,93,1,2,8,1,0,23,47
Keith Aucoin,FA,C,41,6,6,12,-1,4,50,1,1,0,0,0,33,21
Christian Ehrhoff,FA,D,47,5,17,22,6,34,102,2,1,8,0,0,38,81
Matt Carle,FA,D,48,5,17,22,1,4,66,0,2,3,0,0,32,87
Simon Gagne,FA,LW,38,5,11,16,-1,8,76,0,2,2,0,1,24,15
Jack Johnson,PIT,D,44,5,14,19,-5,12,96,1,3,5,0,0,66,90
Nick Bonino,NSH,C,27,5,8,13,-3,8,37,0,1,2,0,0,11,49
Zach Bogosian,TB,D,33,5,9,14,-5,29,85,0,0,3,0,0,79,50
Matt Halischuk,FA,RW,36,5,6,11,1,10,51,1,0,0,0,0,33,21
Jared Spurgeon,MIN,D,39,5,10,15,1,4,67,2,4,3,0,0,46,55
Roman Josi,NSH,D,48,5,13,18,-7,8,96,1,1,6,0,0,31,73
Patrick Wiercioch,FA,D,42,5,14,19,9,39,81,0,3,7,0,0,28,29
Maxime Talbot,FA,C,35,5,5,10,2,23,41,0,0,0,1,0,57,27
David Moss,FA,RW,45,5,15,20,3,21,82,0,1,1,1,0,73,34
Brandon Prust,FA,LW,38,5,9,14,11,110,39,1,0,0,0,0,87,26
Tommy Wingels,FA,RW,42,5,8,13,-9,26,69,0,0,1,1,0,115,32
Justin Faulk,STL,D,38,5,10,15,1,15,76,0,1,2,1,0,63,47
Kris Letang,PIT,D,35,5,33,38,16,8,95,1,1,12,0,0,45,59
Marcus Foligno,MIN,LW,47,5,13,18,-4,41,55,0,1,3,0,1,108,16
Nathan Gerbe,CLS,LW,42,5,5,10,-3,14,64,0,0,0,1,0,32,8
Chuck Kobasew,FA,RW,37,5,4,9,6,21,43,1,0,0,0,0,34,17
Jochen Hecht,FA,LW,47,5,9,14,6,18,69,1,0,0,1,0,24,27
Niklas Kronwall,FA,D,48,5,24,29,-5,44,67,2,2,14,0,0,42,83
Kimmo Timonen,FA,D,45,5,24,29,3,36,78,1,3,14,0,0,31,79
Ryan Johansen,NSH,C,40,5,7,12,-7,12,84,2,0,1,0,0,42,14
Trevor Lewis,LA,C,48,5,9,14,5,19,92,2,0,0,1,1,83,31
Cory Emmerton,FA,C,48,5,3,8,-1,4,55,0,0,1,0,0,28,26
Jim O'Brien,FA,C,29,5,1,6,-2,8,38,0,1,0,0,0,30,13
Martin Erat,FA,RW,45,5,19,24,-7,30,69,2,1,7,0,0,48,12
Matt Stajan,FA,C,43,5,18,23,7,26,44,1,0,0,0,0,47,30
Kyle Chipchura,FA,C,46,5,9,14,1,50,37,0,0,0,0,0,61,7
Alex Pietrangelo,STL,D,47,5,19,24,0,10,93,0,2,4,0,1,24,101
Michael Stone,CGY,D,40,5,4,9,2,16,50,0,1,1,0,0,89,64
Kevin Shattenkirk,TB,D,48,5,18,23,2,20,84,0,2,7,0,0,55,59
Matt Hendricks,FA,LW,48,5,3,8,-6,73,54,1,0,0,0,0,93,31
T.J. Galiardi,FA,LW,36,5,9,14,1,14,68,0,1,1,0,0,36,15
Chris Phillips,OTT,D,48,5,9,14,-5,43,89,0,1,0,0,0,93,78
Rob Klinkhammer,FA,LW,22,5,6,11,7,10,34,1,1,0,0,0,65,6
James Wisniewski,FA,D,30,5,9,14,-1,15,62,0,4,1,0,1,53,48
Richard Panik,WAS,RW,25,5,4,9,-2,4,34,1,1,1,0,0,38,13
Dougie Hamilton,CAR,D,42,5,11,16,4,14,83,0,2,2,0,0,59,33
Craig Smith,NSH,RW,44,4,8,12,-11,20,83,0,2,5,0,0,39,13
Sean Couturier,PHI,C,46,4,11,15,-8,10,75,0,0,4,0,0,31,27
Mark Giordano,CGY,D,47,4,11,15,-7,40,58,1,1,2,1,1,65,93
Tuomo Ruutu,FA,LW,17,4,5,9,-6,8,30,0,0,0,0,0,51,7
Gregory Campbell,FA,C,48,4,9,13,2,41,52,0,0,1,1,0,71,28
Boyd Gordon,FA,C,48,4,10,14,0,8,59,0,0,2,0,1,22,44
Trevor Daley,DET,D,44,4,9,13,1,14,58,0,2,1,0,1,27,69
Radek Dvorak,FA,RW,9,4,0,4,2,2,17,1,0,0,0,0,2,1
Kevin Porter,BUF,C,31,4,5,9,-1,10,37,0,0,0,1,1,56,18
Jakub Kindl,FA,D,41,4,9,13,15,28,76,2,1,2,0,0,46,33
Ryan Kesler,ANH,C,17,4,9,13,-5,12,36,1,2,3,0,0,30,13
Ryan Suter,MIN,D,48,4,28,32,2,24,91,1,3,12,0,0,33,74
Fedor Tyutin,FA,D,48,4,18,22,9,28,56,1,0,5,0,1,58,58
Maxim Lapierre,FA,C,48,4,6,10,-6,45,54,1,0,0,0,0,116,18
Riley Nash,CLS,C,32,4,5,9,-4,8,36,0,0,0,0,0,36,10
Drew Miller,FA,LW,44,4,4,8,-8,2,54,2,1,0,0,0,81,41
Torrey Mitchell,FA,C,45,4,4,8,-8,21,39,1,0,0,0,0,47,22
Ryan Reaves,VGK,RW,43,4,2,6,3,79,24,1,0,0,0,0,135,7
