,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Alex Ovechkin,WAS,LW,48,32,24,56,2,36,220,4,16,11,0,0,120,18
Steven Stamkos,TB,C,48,29,28,57,-4,32,157,2,10,8,0,0,63,17
John Tavares,TOR,C,48,28,19,47,-2,18,162,5,9,7,0,0,33,22
Jeff Carter,LA,C,48,26,7,33,0,16,133,8,8,2,0,0,25,23
Patrick Kane,CHI,RW,47,23,32,55,11,8,138,3,8,9,0,0,11,9
Jonathan Toews,CHI,C,47,23,25,48,28,27,143,5,2,4,2,1,24,16
Jiri Tlusty,FA,LW,48,23,15,38,15,18,117,3,4,4,0,0,53,41
Jakub Voracek,PHI,LW,48,22,24,46,-7,35,129,3,8,9,0,0,20,12
Chris Kunitz,FA,LW,48,22,30,52,30,39,113,5,9,7,0,0,104,13
Rick Nash,FA,LW,44,21,21,42,16,26,176,3,3,6,1,0,46,25
James Neal,EDM,RW,40,21,15,36,5,26,136,6,9,7,0,0,56,17
Logan Couture,SJ,C,48,21,16,37,7,4,151,5,7,5,0,1,32,51
Thomas Vanek,FA,LW,38,20,21,41,-1,20,119,2,9,5,1,0,13,4
Pascal Dupuis,FA,RW,48,20,18,38,31,26,140,2,2,1,1,0,83,36
Phil Kessel,ARI,RW,48,20,32,52,-3,18,161,4,6,15,0,0,16,23
Blake Wheeler,WPG,RW,48,19,22,41,-3,28,129,2,2,5,0,0,90,39
Troy Brouwer,STL,RW,47,19,14,33,-5,28,111,5,7,9,1,0,108,23
Eric Staal,MIN,C,48,18,35,53,5,54,152,4,3,6,1,0,35,24
Derek Stepan,ARI,C,48,18,26,44,25,12,108,6,4,6,1,3,52,28
Chris Stewart,PHI,RW,48,18,18,36,0,40,97,3,6,6,0,0,41,13
James van Riemsdyk,PHI,LW,48,18,14,32,-7,26,140,3,5,1,0,0,55,15
Brad Marchand,BOS,LW,45,18,18,36,23,27,91,5,4,0,2,0,38,20
Andrew Ladd,NYI,LW,48,18,28,46,10,22,121,4,3,3,0,0,98,26
Nazem Kadri,COL,C,48,18,26,44,15,23,107,1,5,3,0,0,62,22
Dustin Brown,LA,RW,46,18,11,29,6,22,142,1,8,5,0,0,156,8
P.A. Parenteau,FA,RW,48,18,25,43,-11,38,105,1,6,7,0,0,50,14
Zach Parise,MIN,LW,48,18,20,38,2,16,182,4,7,6,0,0,59,41
Nail Yakupov,FA,RW,48,17,14,31,-4,24,81,2,6,4,0,0,41,14
Patrik Berglund,FA,C,48,17,8,25,-2,12,74,3,5,1,2,0,53,24
Marian Hossa,FA,RW,40,17,14,31,20,16,116,6,4,2,1,1,12,13
Matt Duchene,NSH,C,47,17,26,43,-12,12,132,3,2,7,0,1,48,47
Patrick Marleau,PIT,LW,48,17,14,31,-2,24,150,3,6,8,1,0,38,13
Martin St. Louis,FA,RW,48,17,43,60,0,14,112,2,3,17,0,0,23,32
Evander Kane,SJ,LW,48,17,16,33,-3,80,190,4,2,2,0,0,147,22
Taylor Hall,ARI,LW,45,16,34,50,5,33,154,4,4,10,0,0,24,20
Jordan Eberle,NYI,RW,48,16,21,37,-4,16,133,3,3,6,0,0,31,16
Michael Grabner,ARI,RW,45,16,5,21,4,12,108,3,2,1,1,0,16,19
Tyler Seguin,DAL,C,48,16,16,32,23,16,161,2,4,2,0,0,25,6
Jaromir Jagr,FA,RW,45,16,19,35,-2,22,115,4,6,5,0,0,13,10
Michael Ryder,FA,RW,46,16,19,35,2,16,101,5,8,9,0,0,35,16
Joe Pavelski,DAL,RW,48,16,15,31,2,10,130,5,5,6,0,1,48,44
Ryan Callahan,OTT,RW,45,16,15,31,9,12,144,4,6,2,2,1,154,66
Ryan Getzlaf,ANH,C,44,15,34,49,14,41,99,3,4,11,3,0,89,42
Curtis Glencross,FA,LW,40,15,11,26,-8,18,92,3,3,3,1,0,49,14
Sidney Crosby,PIT,C,36,15,41,56,26,16,124,1,3,14,0,0,21,18
Max Pacioretty,VGK,LW,44,15,24,39,8,28,163,0,4,8,0,0,59,16
Corey Perry,DAL,RW,44,15,21,36,10,72,128,5,5,5,0,1,49,18
Matt Moulson,WAS,LW,47,15,29,44,-3,4,154,0,8,7,0,0,24,28
Brendan Gallagher,MON,RW,44,15,13,28,10,33,117,3,3,1,0,0,44,33
David Clarkson,TOR,RW,48,15,9,24,-6,78,180,5,6,2,0,0,84,6
Pavel Datsyuk,FA,C,47,15,34,49,21,14,107,6,8,8,0,3,31,30
Wayne Simmonds,BUF,RW,45,15,17,32,-7,82,110,4,6,10,0,0,72,16
Cody Hodgson,FA,LW,48,15,19,34,-4,20,114,1,3,2,1,1,21,24
Tomas Kopecky,FA,RW,47,15,12,27,-8,28,92,0,4,5,1,0,23,25
Jason Pominville,FA,RW,47,14,20,34,1,8,118,2,2,7,1,0,21,35
Johan Franzen,DET,RW,41,14,17,31,13,41,116,1,6,6,0,0,43,17
Jarome Iginla,FA,RW,44,14,19,33,-5,31,134,3,6,6,0,0,65,13
Jonathan Huberdeau,FLA,LW,48,14,17,31,-15,18,112,1,2,7,0,0,33,19
Brian Gionta,FA,RW,48,14,12,26,3,8,112,3,5,2,0,0,37,23
Sam Gagner,DET,C,48,14,24,38,-6,23,113,1,4,11,0,2,35,22
Tomas Plekanec,FA,C,47,14,19,33,3,24,133,2,4,11,0,0,26,17
