,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Matt Martin,NYI,LW,78,8,6,14,-4,114,90,2,0,0,0,0,382,36
Jack Johnson,PIT,D,79,8,32,40,-13,44,141,1,3,18,0,0,157,131
Martin Hanzal,DAL,C,37,8,16,24,-1,31,85,3,1,3,0,1,105,18
Matt Dumba,MIN,D,58,8,8,16,13,23,86,2,2,4,0,0,42,51
Ryan McDonagh,TB,D,71,8,25,33,23,26,148,2,3,9,0,3,77,139
Brad Richardson,ARI,C,45,8,13,21,0,34,66,1,0,1,1,0,58,20
Michael Grabner,ARI,RW,34,8,5,13,4,4,63,0,0,0,0,0,62,21
Joe Colborne,FA,C,64,8,20,28,7,43,67,1,1,4,1,0,158,35
Marko Dano,CLS,C,35,8,13,21,12,14,84,1,0,0,0,0,94,12
Tomas Fleischmann,FA,LW,66,8,19,27,12,12,131,1,0,1,0,0,64,15
Zdeno Chara,BOS,D,63,8,12,20,0,42,138,0,4,1,0,3,125,99
Daniel Briere,FA,RW,57,8,4,12,-7,18,69,3,0,0,0,0,19,9
Brent Seabrook,CHI,D,82,8,23,31,-3,27,181,2,4,11,0,1,135,141
Ryan Garbutt,FA,RW,67,8,17,25,-9,55,143,2,0,0,1,0,82,48
Matt Read,TOR,RW,80,8,22,30,-4,14,142,2,2,3,0,1,108,55
Seth Jones,CLS,D,82,8,19,27,3,20,123,0,2,9,1,0,72,90
Morgan Rielly,TOR,D,81,8,21,29,-16,14,148,0,1,8,0,0,98,103
Matt Hendricks,FA,LW,71,8,8,16,-14,76,103,0,0,1,1,0,220,72
Kevin Shattenkirk,TB,D,56,8,36,44,19,52,135,1,4,21,0,0,42,86
Riley Nash,CLS,C,68,8,17,25,-10,12,94,0,1,5,0,0,88,46
Vincent Lecavalier,FA,C,57,8,12,20,-7,36,103,0,1,3,0,0,40,15
James Wisniewski,FA,D,69,8,26,34,-13,44,147,2,7,8,0,0,115,81
Ryan Spooner,FA,C,29,8,10,18,2,2,73,1,3,2,0,0,17,5
Eric Nystrom,FA,LW,60,7,5,12,0,15,60,1,0,0,1,0,104,29
Chris Kelly,FA,RW,80,7,21,28,6,48,112,2,0,0,1,1,126,61
Tuomo Ruutu,FA,LW,77,7,6,13,-3,28,74,0,0,0,0,0,174,23
Derek Dorsett,FA,RW,79,7,18,25,4,175,89,3,0,0,2,0,166,37
Alex Pietrangelo,STL,D,81,7,39,46,-2,28,195,2,1,11,0,0,70,161
Cam Fowler,ANH,D,80,7,27,34,4,14,87,2,1,8,1,1,47,107
Johan Franzen,DET,RW,33,7,15,22,-12,30,74,3,4,7,0,0,45,13
Matt Stajan,FA,C,59,7,10,17,7,28,46,0,0,0,0,1,72,21
Mark Letestu,WPG,C,54,7,6,13,-9,0,63,1,0,1,1,0,51,24
Jeff Petry,MON,D,78,7,15,22,-28,42,126,1,1,3,0,1,145,109
Erik Haula,FLA,C,72,7,7,14,-7,32,92,1,1,0,0,1,31,42
Marcus Kruger,FA,C,81,7,10,17,-5,32,126,1,0,0,0,0,29,50
Brad Malone,EDM,C,65,7,8,15,-8,74,65,2,0,0,0,0,162,16
Calle Jarnkrok,NSH,C,74,7,11,18,2,18,95,1,0,0,0,1,32,21
David Booth,FA,LW,59,7,6,13,-8,25,107,2,0,0,0,1,87,8
Matt Cullen,FA,C,62,7,18,25,8,16,90,1,0,4,0,0,10,18
Scott Gomez,FA,C,58,7,27,34,-10,23,70,1,0,14,0,0,24,15
Andrej Meszaros,FA,D,60,7,7,14,-13,36,67,1,1,0,0,0,67,94
Tyler Myers,VAN,D,71,7,21,28,-6,77,124,0,2,4,0,2,65,132
Mattias Ekholm,NSH,D,80,7,11,18,12,52,86,1,1,1,0,0,57,102
Jacob Trouba,NYR,D,65,7,15,22,2,46,133,0,1,5,0,0,97,120
Hampus Lindholm,ANH,D,78,7,27,34,25,32,107,1,0,6,0,0,59,77
Vincent Trocheck,CAR,C,50,7,15,22,9,24,89,0,1,0,0,0,93,19
Andrej Nestrasil,FA,C,54,7,13,20,-1,8,82,0,2,3,0,0,54,17
Chris Thorburn,FA,RW,81,7,7,14,-5,76,67,2,0,0,0,0,126,29
James Sheppard,FA,LW,71,7,11,18,-4,37,79,1,0,1,0,0,121,43
Drew Doughty,LA,D,82,7,39,46,3,56,219,2,1,16,0,1,152,144
Cody McLeod,FA,LW,82,7,5,12,-2,191,94,2,0,0,1,0,268,43
Artem Anisimov,OTT,C,52,7,20,27,-6,8,88,2,0,4,0,3,33,26
David Krejci,BOS,C,47,7,24,31,7,22,70,1,1,7,1,0,35,29
Cody Franson,FA,D,78,7,29,36,-7,28,127,0,5,12,0,0,177,132
Jay McClement,FA,C,82,7,14,21,-7,17,68,2,0,0,0,0,79,53
Brooks Laich,FA,C,66,7,13,20,-2,24,106,2,0,1,0,1,107,53
Jason Chimera,FA,LW,77,7,12,19,-1,51,96,2,0,0,0,0,132,18
Ben Smith,FA,RW,80,7,7,14,2,2,92,1,0,0,0,0,72,75
Cal Clutterbuck,NYI,RW,76,7,9,16,1,60,124,4,0,1,2,1,343,31
Marek Zidlicky,FA,D,84,7,27,34,-9,56,130,1,6,14,0,0,95,92
Daniel Paille,FA,LW,71,6,7,13,-9,12,66,1,0,0,1,1,77,34
Lauri Korpikoski,FA,LW,69,6,15,21,-27,12,82,1,5,3,0,1,141,48
Paul Byron,MON,C,57,6,13,19,-2,8,62,0,1,0,0,2,101,24
Jarret Stoll,FA,C,73,6,11,17,3,58,83,2,3,1,0,2,167,57
Tyler Kennedy,FA,LW,38,6,8,14,-2,10,79,2,0,0,0,0,49,8
Jordan Staal,CAR,C,46,6,18,24,-6,14,92,1,1,6,0,0,85,15
Jack Skille,FA,RW,45,6,2,8,-18,16,95,0,0,0,0,0,96,15
Alec Martinez,VGK,D,56,6,16,22,9,10,103,1,1,3,0,0,95,117
Brett Ritchie,BOS,RW,31,6,3,9,-1,12,78,1,0,1,0,0,89,5
Chris Tierney,OTT,C,43,6,15,21,3,6,48,1,1,3,0,0,11,17
Curtis Lazar,BUF,C,67,6,9,15,1,14,92,0,0,0,0,0,167,40
Rene Bourque,FA,LW,51,6,8,14,-15,22,85,1,2,1,0,0,71,11
Pascal Dupuis,FA,RW,16,6,5,11,2,4,44,1,2,1,0,1,20,8
Alexander Semin,FA,LW,57,6,13,19,-10,32,93,0,0,4,0,0,30,17
Seth Griffith,WPG,RW,30,6,4,10,-2,6,33,1,1,2,0,0,14,13
Pierre-Edouard Bellemare,COL,C,81,6,6,12,-3,18,113,1,0,0,0,0,121,61
Johan Larsson,BUF,C,39,6,10,16,0,12,50,0,1,3,0,0,59,19
Eric Gelinas,FA,D,61,6,13,19,-2,42,112,2,3,6,0,0,82,50
Jacob Josefson,FA,C,62,6,5,11,0,24,61,1,0,2,3,0,55,30
Dave Bolland,FA,C,53,6,17,23,4,48,76,0,0,5,1,0,88,21
Michael Ryder,FA,RW,47,6,13,19,-1,30,89,0,0,2,0,0,53,14
Kyle Clifford,TOR,LW,80,6,9,15,5,87,117,1,0,0,0,0,200,14
Devante Smith-Pelly,FA,RW,74,6,14,20,-1,24,104,1,0,1,1,1,205,49
Jordan Nolan,STL,RW,60,6,3,9,-6,54,44,1,0,0,0,0,102,11
Jesper Fast,NYR,RW,58,6,8,14,-1,8,52,0,0,1,0,0,102,28
Anton Lander,FA,C,38,6,14,20,-12,14,61,2,4,3,0,0,59,12
Ryan White,FA,RW,34,6,6,12,4,30,45,1,0,0,0,1,108,14
Keith Yandle,FLA,D,84,6,46,52,-26,40,232,2,2,27,0,0,53,101
Justin Schultz,PIT,D,81,6,25,31,-17,12,122,1,0,12,0,0,41,114
Cody Hodgson,FA,LW,78,6,7,13,-28,12,127,0,0,1,0,0,40,21
Ryan Reaves,VGK,RW,81,6,6,12,-3,116,55,1,0,0,0,0,276,14
Torrey Mitchell,FA,C,65,6,8,14,-8,34,55,2,0,0,0,0,58,61
Gregory Campbell,FA,C,70,6,6,12,1,45,64,2,0,0,1,0,119,41
Boyd Gordon,FA,C,68,6,7,13,-5,17,65,1,1,0,1,1,31,80
Tim Jackman,FA,RW,55,5,2,7,-4,86,55,1,0,0,0,0,110,19
Jakub Kindl,FA,D,35,5,8,13,2,22,54,0,2,5,0,0,31,25
Rob Klinkhammer,FA,LW,69,5,4,9,-4,27,64,0,0,0,0,0,236,12
Jim Slater,FA,C,82,5,8,13,-4,58,51,1,0,0,0,1,134,52
Drew Miller,FA,LW,82,5,8,13,-3,25,98,0,0,1,1,0,119,99
Patrick Dwyer,FA,RW,71,5,7,12,-12,10,77,0,0,0,0,1,145,38
Travis Hamonic,CGY,D,71,5,28,33,15,85,132,0,1,7,0,0,213,131
Emerson Etem,LA,RW,45,5,5,10,-6,4,77,0,0,0,0,0,63,20
Andrew Desjardins,FA,C,69,5,5,10,-1,57,59,1,0,0,0,0,128,35
Lubomir Visnovsky,FA,D,53,5,15,20,-3,8,85,1,2,3,0,0,38,61
Roman Polak,DAL,D,56,5,4,9,-22,48,61,1,0,0,0,0,225,128
Zach Redmond,FA,D,59,5,15,20,-1,24,93,1,1,5,0,0,59,76
Teemu Pulkkinen,FA,RW,31,5,3,8,5,10,67,2,1,1,0,0,3,4
Mike Richards,FA,C,53,5,11,16,-10,39,63,1,1,2,0,0,62,10
Nate Thompson,PHI,C,80,5,13,18,0,39,87,3,0,0,1,0,204,52
Maxime Talbot,FA,C,81,5,13,18,-1,29,97,1,0,0,0,0,132,51
Nick Holden,VGK,D,78,5,9,14,-11,28,94,2,2,4,0,0,156,96
Karl Alzner,MON,D,82,5,16,21,14,20,72,0,0,0,0,0,120,165
Derek MacKenzie,FA,C,82,5,6,11,-17,45,72,0,1,0,0,0,273,51
Jason Demers,ARI,D,81,5,20,25,-3,71,99,2,2,3,0,0,118,85
Cody Ceci,TOR,D,81,5,16,21,-4,6,130,0,1,3,0,0,89,113
Brian Flynn,FA,C,63,5,12,17,-5,8,82,0,0,1,0,2,44,46
Nicolas Deslauriers,ANH,LW,82,5,10,15,-24,71,76,1,0,0,0,1,261,36
Stephen Gionta,FA,C,61,5,8,13,4,12,84,1,0,0,0,2,92,41
Nicklas Grossmann,FA,D,68,5,9,14,8,32,43,0,0,0,0,0,132,89
Ian Cole,COL,D,74,5,12,17,14,51,83,0,0,1,0,0,73,99
Marc Staal,NYR,D,80,5,15,20,18,42,97,0,0,0,0,2,99,123
Martin Havlat,FA,RW,40,5,9,14,-11,10,49,1,3,3,0,0,11,11
Damon Severson,NJ,D,51,5,12,17,-13,22,93,0,0,7,0,0,19,34
Zbynek Michalek,FA,D,68,4,8,12,-3,18,86,0,0,0,0,0,85,160
Tom Gilbert,FA,D,72,4,8,12,10,30,70,0,0,0,0,0,55,164
Kris Russell,EDM,D,79,4,30,34,18,17,111,0,1,13,0,0,61,283
Matt Niskanen,PHI,D,82,4,27,31,7,47,117,0,2,8,0,1,143,106
Chris Neil,FA,RW,38,4,3,7,5,78,23,0,1,0,0,0,136,11
Alex Goligoski,ARI,D,81,4,32,36,0,24,122,0,0,8,0,2,100,157
Beau Bennett,ARI,RW,49,4,8,12,-1,16,81,1,0,0,0,0,68,13
Matt Cooke,FA,LW,29,4,6,10,0,13,24,0,0,0,0,0,39,22
Matt Carle,FA,D,59,4,14,18,12,26,73,0,1,0,0,0,26,104
Jonathan Drouin,MON,C,70,4,28,32,3,34,76,0,3,3,0,0,55,16
Teuvo Teravainen,CAR,C,34,4,5,9,4,2,66,1,0,1,0,0,11,14
Brendan Smith,NYR,D,76,4,9,13,-2,68,88,1,0,2,0,0,60,68
Toby Enstrom,FA,D,60,4,19,23,13,36,58,0,1,6,0,0,27,93
Dan Girardi,FA,D,82,4,16,20,12,22,111,1,1,2,0,1,224,184
Jake Gardiner,CAR,D,79,4,20,24,-23,24,100,0,0,8,0,0,109,83
David Moss,FA,RW,60,4,8,12,-18,24,96,0,1,1,0,1,115,36
Brandon Prust,FA,LW,82,4,14,18,6,134,78,0,0,0,0,1,122,34
Daniel Carcillo,FA,LW,39,4,4,8,3,54,42,0,0,0,0,0,36,7
Erik Gudbranson,ANH,D,76,4,9,13,-4,58,110,0,0,4,0,0,212,75
Tom Wilson,WAS,RW,67,4,13,17,-1,172,79,0,0,0,0,0,205,24
Ryan Murphy,FA,D,37,4,9,13,-11,8,61,1,3,2,0,0,20,37
Ronalds Kenins,FA,C,30,4,8,12,-2,8,38,0,0,0,0,0,71,7
Barclay Goodrow,TB,LW,60,4,8,12,-1,35,68,2,0,0,0,1,76,24
Curtis McKenzie,VGK,LW,36,4,1,5,-8,48,41,0,0,0,0,0,85,13
Connor Murphy,CHI,D,73,4,3,7,-27,42,72,0,0,0,0,0,137,142
Alexander Wennberg,CLS,C,68,4,16,20,-19,22,85,0,1,3,0,0,58,45
Jacob De La Rose,STL,C,33,4,2,6,-5,12,38,0,0,0,1,0,71,24
Dainius Zubrus,FA,RW,74,4,6,10,-9,42,72,1,0,1,0,1,99,41
Jason Garrison,FA,D,70,4,26,30,27,19,111,3,1,10,0,0,46,94
Nikita Nikitin,FA,D,42,4,6,10,-12,12,80,1,2,1,0,0,21,49
Joakim Lindstrom,FA,LW,53,4,6,10,-15,12,61,0,2,3,0,0,14,5
Kyle Chipchura,FA,C,70,4,10,14,-23,82,81,0,1,0,0,0,130,29
Paul Gaustad,FA,C,73,4,10,14,7,60,54,1,0,0,0,0,143,58
Olli Jokinen,FA,C,62,4,6,10,6,28,110,1,0,0,0,0,64,19
Jamie McGinn,FA,LW,19,4,2,6,-9,6,36,0,1,0,0,0,29,7
Kevin Bieksa,FA,D,60,4,10,14,0,77,99,1,0,1,0,1,109,93
Jay Harrison,FA,D,55,3,6,9,-1,65,50,0,1,1,0,0,76,74
John Scott,FA,LW,38,3,1,4,0,87,19,0,0,0,0,0,94,14
Dmitry Kulikov,WPG,D,73,3,19,22,0,48,83,0,1,5,0,1,114,105
Joe Vitale,FA,C,70,3,6,9,-11,36,55,0,0,0,0,0,104,65
Robert Bortuzzo,STL,D,51,3,5,8,-9,93,56,0,0,0,0,0,157,61
Alexei Emelin,FA,D,68,3,11,14,5,59,43,0,0,0,0,0,204,116
Brenden Morrow,FA,LW,70,3,5,8,-1,64,28,0,0,0,0,0,112,16
Fedor Tyutin,FA,D,67,3,12,15,8,40,56,0,0,1,0,2,106,117
Ryan Carter,FA,LW,53,3,10,13,3,55,47,0,0,0,1,0,77,30
Andrej Sekera,DAL,D,73,3,20,23,-3,14,100,0,1,5,0,1,59,118
Luca Sbisa,WPG,D,76,3,8,11,-8,46,79,2,0,0,0,0,151,128
Joakim Andersson,FA,C,68,3,5,8,-4,22,74,1,0,0,0,0,27,24
Michael Stone,CGY,D,81,3,15,18,-24,60,144,0,0,5,0,0,202,189
Jordan Schroeder,FA,C,25,3,5,8,9,2,48,0,0,0,0,0,24,6
Craig Cunningham,FA,LW,51,3,4,7,-7,4,54,0,0,0,1,0,107,31
Andrew Ference,FA,D,70,3,11,14,-17,39,58,0,0,0,0,1,156,86
Robyn Regehr,FA,D,67,3,10,13,10,45,63,0,0,0,0,1,203,83
Willie Mitchell,FA,D,66,3,5,8,1,25,78,0,0,0,0,1,99,144
Marcel Goc,FA,C,74,3,6,9,-3,8,77,0,0,0,0,1,87,35
Ryan Stanton,LA,D,54,3,8,11,9,35,59,0,0,0,0,0,93,113
David Rundblad,FA,D,49,3,11,14,17,12,58,1,0,1,0,0,23,38
Tomas Jurco,EDM,RW,63,3,15,18,6,14,92,0,1,1,0,0,97,11
Mikhail Grigorenko,FA,C,25,3,3,6,-10,2,35,0,1,1,0,0,28,15
Nikita Zadorov,COL,D,60,3,12,15,-10,51,52,1,2,3,0,0,134,73
Jared Cowen,FA,D,54,3,6,9,-11,45,47,1,0,0,0,0,159,76
Simon Despres,FA,D,75,3,20,23,11,86,103,1,0,1,0,0,233,101
Luke Schenn,TB,D,58,3,11,14,-2,18,67,0,0,0,0,0,194,89
Kyle Quincey,FA,D,73,3,15,18,10,77,90,0,0,0,0,1,104,82
Brian Campbell,FA,D,82,3,24,27,4,22,118,0,1,11,0,0,44,85
Brad Stuart,FA,D,65,3,10,13,-4,16,64,0,0,1,0,0,177,134
Eric Brewer,FA,D,44,3,8,11,-5,36,33,1,0,0,0,1,87,72
Matt Greene,FA,D,82,3,6,9,1,54,69,0,0,0,0,0,209,129
Dennis Seidenberg,FA,D,82,3,11,14,-1,34,103,0,0,0,0,0,212,146
Steve Ott,FA,C,78,3,9,12,-8,86,49,0,0,0,0,0,184,14
Paul Martin,FA,D,74,3,17,20,17,20,61,0,0,1,0,0,60,139
Dennis Everberg,FA,RW,55,3,9,12,-7,10,62,0,0,0,0,0,73,41
Jonas Brodin,MIN,D,71,3,14,17,21,8,95,1,0,2,0,1,31,128
William Karlsson,VGK,C,21,3,2,5,3,2,29,1,0,1,0,0,18,7
Adam Larsson,EDM,D,64,3,21,24,2,34,91,1,0,0,0,3,92,120
Dion Phaneuf,FA,D,70,3,26,29,-11,108,138,1,2,13,0,1,166,126
Patrick Wiercioch,FA,D,56,3,10,13,3,28,79,2,1,4,0,0,50,44
Philip Varone,PIT,C,28,3,2,5,-14,10,28,0,0,0,0,0,30,22
Michael Bournival,FA,C,29,3,2,5,3,4,27,1,0,0,0,0,26,10
Andy Greene,NYI,D,82,3,19,22,1,20,83,1,0,1,0,1,82,172
Simon Gagne,FA,LW,23,3,1,4,0,4,27,1,0,0,0,0,20,7
Christian Ehrhoff,FA,D,49,3,11,14,8,26,110,3,0,2,0,0,73,49
Travis Moen,FA,LW,44,3,6,9,0,18,34,0,0,0,0,0,62,24
Zach Bogosian,TB,D,62,3,17,20,-6,78,125,0,0,2,0,0,189,90
Matt Halischuk,FA,RW,47,3,5,8,5,6,59,1,0,0,0,0,55,24
Zach Boychuk,FA,RW,31,3,3,6,0,4,35,0,0,0,0,0,40,9
Chris Butler,FA,D,33,3,6,9,8,23,54,0,0,0,1,0,31,38
Gabriel Bourque,WPG,LW,69,3,10,13,-13,10,76,0,0,0,0,0,141,44
Peter Harrold,FA,D,43,3,2,5,-10,4,31,0,0,0,0,0,40,39
Jonathan Ericsson,DET,D,82,3,12,15,-5,70,82,0,0,0,0,1,114,55
B.J. Crombeen,FA,RW,58,3,3,6,-6,79,43,0,0,0,0,0,68,12
Niklas Hjalmarsson,ARI,D,82,3,16,19,25,44,97,1,0,0,0,0,39,127
Jamie McBain,FA,D,26,3,6,9,4,4,18,0,1,2,0,0,21,28
J.T. Brown,MIN,RW,52,3,6,9,-2,30,74,0,0,0,0,0,43,20
Damien Brunner,FA,RW,17,2,5,7,-1,8,29,0,0,4,0,0,7,3
Sven Baertschi,VAN,LW,18,2,4,6,-3,10,15,0,0,0,0,0,8,7
Xavier Ouellet,MON,D,21,2,1,3,4,2,27,0,0,0,0,0,11,13
Michal Jordan,FA,D,38,2,4,6,-7,4,44,0,2,0,0,0,35,61
Brian Strait,NJ,D,52,2,5,7,-1,32,59,0,0,0,0,1,124,85
Nate Guenin,FA,D,76,2,13,15,-1,32,38,0,0,0,0,0,94,162
Deryk Engelland,VGK,D,76,2,9,11,-16,53,51,0,0,0,0,1,132,141
Carlo Colaiacovo,FA,D,33,2,6,8,0,10,42,0,0,2,0,0,46,33
John Moore,BOS,D,57,2,9,11,-4,30,77,0,0,4,0,0,77,52
Jordie Benn,VAN,D,73,2,14,16,-5,34,70,0,0,2,0,0,92,121
Ben Lovejoy,FA,D,60,2,12,14,-4,25,86,0,0,0,0,2,170,105
Zack Smith,CHI,C,37,2,1,3,-8,18,38,0,0,0,0,0,64,13
Brett Bellemore,FA,D,49,2,8,10,1,27,26,1,0,0,0,0,148,54
Raphael Diaz,FA,D,56,2,2,4,-3,10,52,1,1,0,0,0,24,67
Brandon Gormley,FA,D,27,2,2,4,-7,10,39,0,1,0,0,0,26,32
Mark Fayne,FA,D,74,2,6,8,-21,14,78,0,0,0,0,2,81,125
Luke Gazdic,ANH,LW,40,2,1,3,-4,43,26,0,0,0,0,0,76,15
Tim Erixon,FA,D,42,2,5,7,-7,14,36,0,1,4,0,0,34,32
Chris Tanev,VAN,D,70,2,18,20,8,12,53,1,0,2,0,0,23,170
Ron Hainsey,OTT,D,81,2,8,10,-14,16,83,0,0,1,0,0,110,120
Scott Hannan,FA,D,58,2,5,7,0,26,53,0,0,0,0,0,32,69
Tyler Pitlick,PHI,C,17,2,0,2,-3,4,18,1,0,0,0,0,55,17
Brenden Dillon,WAS,D,80,2,8,10,-13,77,91,1,0,0,1,1,154,139
Nikita Nesterov,FA,D,27,2,5,7,6,16,44,0,1,1,0,0,42,17
Leon Draisaitl,EDM,C,37,2,7,9,-17,4,49,1,1,1,0,0,21,8
Brandon Kozun,FA,RW,20,2,2,4,-3,6,8,0,0,0,0,0,21,4
Nate Prosser,PHI,D,63,2,5,7,-1,32,38,1,0,0,0,0,34,102
Paul Postma,FA,D,42,2,4,6,1,16,40,0,2,0,0,0,17,28
Jesse Joensuu,FA,RW,20,2,2,4,-8,14,18,0,0,0,1,0,37,9
Nick Schultz,FA,D,80,2,13,15,2,47,69,1,0,1,0,0,113,166
Christian Folin,MON,D,40,2,8,10,3,13,39,0,0,1,0,0,46,42
Danny DeKeyser,DET,D,80,2,29,31,11,42,89,1,0,6,0,0,74,88
Sven Andrighetto,FA,RW,12,2,1,3,0,0,12,0,0,0,0,0,5,4
Matt Tennyson,NJ,D,27,2,6,8,0,16,37,0,1,1,0,1,48,34
Kevan Miller,BOS,D,41,2,5,7,20,15,37,1,0,0,0,0,87,60
Trevor Smith,FA,C,54,2,3,5,-9,12,46,0,0,0,0,0,75,25
Thomas Hickey,NYI,D,81,2,20,22,-12,26,82,1,0,0,0,2,117,136
Ben Chiarot,MON,D,40,2,6,8,5,22,37,0,0,0,0,0,70,51
Petteri Lindbohm,FA,D,23,2,1,3,-1,26,32,0,0,0,0,0,26,22
Lucas Lessio,FA,LW,26,2,3,5,-10,8,44,0,0,0,0,0,59,6
Mark Pysyk,FLA,D,7,2,1,3,4,2,4,1,0,0,0,0,1,11
Jon Merrill,VGK,D,66,2,12,14,-14,24,47,0,2,2,0,1,59,89
Matt Puempel,DET,LW,13,2,1,3,6,8,14,0,0,0,0,0,9,1
Brayden McNabb,VGK,D,71,2,22,24,11,52,74,1,0,5,0,0,175,56
Dylan Olsen,FA,D,44,2,6,8,-7,20,44,0,0,1,0,0,77,52
Viktor Stalberg,FA,LW,25,2,8,10,0,18,27,1,0,0,0,0,54,10
Jeremy Morin,FA,LW,43,2,4,6,1,28,73,0,0,0,0,0,45,5
Andrew MacDonald,FA,D,58,2,10,12,-5,41,62,0,1,4,0,0,35,86
Steve Pinizzotto,FA,RW,18,2,2,4,1,30,15,0,0,0,0,0,32,2
Tye McGinn,VGK,LW,51,2,5,7,0,21,60,0,0,0,0,0,71,17
Radko Gudas,WAS,D,31,2,3,5,-5,34,63,1,0,0,0,0,115,63
Carl Gunnarsson,STL,D,61,2,10,12,10,2,54,0,0,1,0,0,42,114
Marc-Andre Cliche,TOR,C,74,2,5,7,-2,17,68,0,0,0,0,0,27,28
Matt Hunwick,BUF,D,55,2,9,11,17,16,72,1,0,2,0,0,55,43
Colin McDonald,NYI,RW,18,2,6,8,-3,0,29,0,0,0,0,0,72,6
John-Michael Liles,FA,D,57,2,20,22,-9,14,90,0,0,7,0,0,71,74
Maxim Lapierre,FA,C,80,2,9,11,-15,32,86,0,0,0,0,0,153,36
Barret Jackman,FA,D,80,2,13,15,3,47,86,1,0,0,0,1,108,126
Eric Boulton,FA,LW,10,2,0,2,-1,30,9,0,0,0,0,0,10,4
Ryan Suter,MIN,D,77,2,36,38,7,48,150,1,1,10,0,1,69,127
Steve Kampfer,BOS,D,25,2,2,4,-4,12,28,1,0,1,0,0,49,33
Micheal Ferland,VAN,LW,26,2,3,5,1,16,34,1,0,1,0,0,67,10
Johnny Oduya,FA,D,76,2,8,10,5,26,76,0,0,0,0,0,69,123
Mark Stuart,FA,D,70,2,12,14,5,69,51,1,0,0,0,2,166,142
Tomas Kopecky,FA,RW,64,2,6,8,-19,28,106,1,0,0,0,0,88,22
Jay Bouwmeester,STL,D,72,2,11,13,7,24,92,0,0,4,0,0,42,99
Oscar Klefbom,EDM,D,60,2,18,20,-21,4,98,0,0,2,0,0,45,102
Andy Andreoff,PHI,C,18,2,1,3,1,18,14,1,0,0,0,0,33,0
Derrick Pouliot,STL,D,34,2,5,7,-11,4,56,2,1,3,0,0,15,20
Scott Laughton,PHI,C,31,2,4,6,-1,17,51,0,0,1,0,0,58,11
Nate Schmidt,VGK,D,39,1,3,4,-2,10,40,0,0,0,0,0,34,33
Frank Corrado,FA,D,10,1,0,1,-7,0,8,0,0,0,0,0,15,12
Klas Dahlbeck,FA,D,23,1,3,4,-8,8,20,0,0,0,0,0,64,46
Alexey Marchenko,FA,D,13,1,1,2,1,2,7,0,0,0,0,0,9,10
Mirco Mueller,NJ,D,39,1,3,4,-8,10,31,0,0,0,0,0,49,58
Stephane Robidas,FA,D,52,1,6,7,8,34,34,0,0,0,0,1,141,75
Andrew Ebbett,FA,C,24,1,5,6,1,2,21,0,0,0,0,0,10,12
Justin Falk,FA,D,18,1,1,2,-9,14,18,0,0,0,0,0,12,19
Justin Hodgman,STL,C,5,1,0,1,-2,2,3,0,1,0,0,0,8,0
Cory Conacher,TB,LW,15,1,2,3,-3,14,23,0,0,0,0,0,19,7
Zac Dalpe,CLS,C,21,1,2,3,-11,4,29,0,0,0,0,0,15,8
Chris Porter,FA,LW,24,1,1,2,-3,6,24,1,0,0,0,0,63,1
T.J. Galiardi,FA,LW,38,1,0,1,-8,2,35,0,0,0,0,0,38,14
Zac Rinaldo,CGY,C,58,1,5,6,-9,102,45,0,0,0,0,0,216,20
Miikka Salomaki,TOR,RW,1,1,0,1,1,0,4,0,0,0,0,0,7,1
Casey Bailey,WAS,RW,6,1,0,1,1,2,9,0,0,0,0,0,3,4
Adam McQuaid,FA,D,63,1,6,7,-2,85,60,0,0,0,0,0,141,91
Sergei Gonchar,FA,D,48,1,13,14,6,18,46,0,0,4,0,0,45,71
Matt Ellis,FA,C,39,1,1,2,-12,4,29,1,0,0,0,0,10,16
Jordan Leopold,FA,D,43,1,3,4,-6,19,39,0,1,0,0,0,33,50
Manny Malhotra,FA,C,58,1,3,4,-6,12,46,1,0,0,0,0,37,62
Brandon McMillan,FA,LW,58,1,3,4,-19,16,51,0,0,0,0,0,91,23
Calvin de Haan,CHI,D,65,1,11,12,3,24,92,0,0,1,1,0,140,130
David Schlemko,FA,D,44,1,3,4,1,12,45,0,0,2,0,0,45,84
Chris Mueller,ANH,C,7,1,1,2,-1,0,10,0,1,0,0,0,3,1
Mark Borowiecki,OTT,D,63,1,10,11,15,107,30,0,0,0,0,0,233,102
Joe Whitney,FA,LW,4,1,0,1,-1,0,1,0,0,0,0,0,5,0
Freddie Hamilton,FA,C,18,1,0,1,-2,0,11,1,0,0,0,0,25,3
Zach Trotman,PIT,D,27,1,4,5,-2,0,46,1,0,0,0,0,44,33
Jonathan Marchessault,VGK,LW,2,1,0,1,1,0,3,0,0,0,0,0,4,0
Stefan Matteau,CLS,RW,7,1,0,1,0,4,8,0,0,0,0,0,17,1
Christian Thomas,FA,RW,18,1,0,1,-2,7,26,0,0,0,0,0,8,3
Jordan Szwarz,OTT,RW,9,1,0,1,-2,2,8,0,0,0,0,0,5,9
Alex Biega,DET,D,7,1,0,1,-2,0,7,1,0,0,0,0,34,8
Anthony Peluso,EDM,RW,49,1,1,2,-3,86,23,0,0,0,0,0,100,5
Mike Weber,FA,D,64,1,6,7,-22,68,41,0,0,0,0,1,172,168
