,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Matt Beleskey,NYR,LW,65,22,10,32,13,39,145,8,4,0,0,0,159,25
Alex Tanguay,FA,LW,80,22,33,55,-1,40,104,4,2,12,1,0,45,39
Jakub Voracek,PHI,LW,82,22,59,81,1,78,221,3,11,22,0,0,55,28
Erik Karlsson,SJ,D,82,21,45,66,7,42,292,3,6,24,0,0,93,89
Troy Brouwer,STL,RW,82,21,22,43,11,53,145,3,8,6,2,0,206,39
Brandon Sutter,VAN,C,80,21,12,33,6,14,180,4,3,2,4,0,86,48
Matt Duchene,NSH,C,82,21,34,55,3,16,207,4,2,5,0,0,43,74
Martin St. Louis,FA,RW,74,21,31,52,12,20,144,1,5,8,0,0,13,37
Michael Raffl,PHI,LW,67,21,7,28,6,34,134,2,2,0,1,0,172,46
Chris Kreider,NYR,LW,80,21,25,46,24,88,180,5,7,1,0,0,162,17
Erik Cole,FA,RW,68,21,18,39,2,14,122,0,3,6,1,0,134,20
Thomas Vanek,FA,LW,80,21,31,52,-6,37,171,2,5,12,0,0,32,13
Jason Zucker,PIT,LW,51,21,5,26,-9,18,124,3,1,0,1,0,67,13
Marcus Johansson,BUF,LW,82,20,27,47,6,10,138,1,3,12,0,0,69,18
Daniel Sedin,FA,LW,82,20,56,76,5,18,226,5,4,21,0,0,21,16
Alex Galchenyuk,MIN,RW,80,20,26,46,8,39,163,1,3,9,0,0,91,44
Mika Zibanejad,NYR,C,80,20,26,46,0,20,150,0,4,10,0,0,149,26
Colin Wilson,COL,LW,77,20,22,42,19,22,172,5,3,4,0,0,52,33
Brock Nelson,NYI,C,82,20,22,42,6,24,190,3,10,5,0,0,99,52
Tyler Ennis,EDM,LW,78,20,26,46,-19,37,185,2,6,11,1,0,87,35
Ryan Kesler,ANH,C,81,20,27,47,-5,75,205,4,5,6,1,2,169,69
Benoit Pouliot,FA,LW,58,19,15,34,-1,28,105,3,4,3,1,0,71,31
Michael Frolik,BUF,LW,82,19,23,42,4,18,206,4,3,4,3,0,63,41
Eric Fehr,FA,RW,75,19,14,33,8,20,142,4,1,0,1,0,84,47
Patrick Marleau,PIT,LW,82,19,38,57,-17,12,233,4,7,17,0,0,85,28
Joel Ward,FA,RW,82,19,15,34,-4,30,138,4,6,5,0,0,53,38
Derick Brassard,NYI,C,80,19,41,60,9,34,168,3,6,12,0,0,106,13
Cody Eakin,WPG,C,78,19,21,40,-1,26,142,6,2,2,2,1,62,59
T.J. Oshie,WAS,RW,72,19,36,55,17,51,162,4,3,10,0,0,99,39
Mike Fisher,FA,C,59,19,20,39,4,39,111,1,7,3,1,0,125,60
Jimmy Hayes,FA,RW,72,19,16,35,-4,20,166,3,4,7,0,0,147,12
Shawn Matthias,FA,C,78,18,9,27,-3,16,132,0,1,0,0,1,66,33
Milan Lucic,CGY,LW,81,18,26,44,13,81,141,4,2,6,0,0,259,23
Henrik Sedin,FA,C,82,18,55,73,11,22,101,0,5,20,0,0,25,24
Drew Stafford,FA,RW,76,18,25,43,-12,47,147,1,4,5,0,1,81,15
Bobby Ryan,OTT,RW,78,18,36,54,5,24,221,5,4,10,0,0,110,33
